coin_name,coin_symbol,first_date_price
GameCredits,GMC,2014-09-01
Elacoin,ELC,2013-06-09
RabbitCoin,RBBT,2014-08-30
Joincoin,J,2014-08-25
IrishCoin,IRL,2015-07-07
SJWCoin,SJW,2015-08-07
GameCoin,GME,2013-08-25
FlutterCoin,FLT,2014-03-20
ReddCoin,RDD,2014-02-09
AdderalCoin,ADD,2015-02-28
AudioCoin,ADC,2015-06-05
CarpeDiemCoin,DIEM,2014-04-27
Aiden,ADN,2014-04-15
ElephantCoin,ELP,2014-08-26
Mintcoin,MINT,2014-02-19
Aeon,AEON,2015-08-04
Electron,ELT,2014-06-12
LeaCoin,LEA,2015-04-19
Ozziecoin,OZC,2015-07-23
Megacoin,MEC,2013-07-07
Memecoin,MEM,2013-06-09
NEM,XEM,2015-03-31
NautilusCoin,NAUT,2014-05-15
SmileyCoin,SMLY,2015-01-27
LEOcoin,LEO,2015-08-04
CryptoCircuits,CIRC,2015-06-18
GrandCoin,GDC,2013-12-16
CrevaCoin,CREVA,2015-07-07
Stakerush,STHR,2015-09-14
Biebercoin,BRC,2015-07-21
Quicksilver,QSLV,2014-11-13
SecureCoin,SRC,2013-09-28
World Trade Funds,XWT,2014-10-26
Swing,SWING,2015-09-28
BREAKcoin,BRE,2015-09-08
Mastercoin,MSC,2013-12-24
WhiteCoin,XWC,2014-04-18
Karmacoin,KARM,2014-02-08
Fractalcoin,FRAC,2014-06-15
TransferCoin,TX,2015-08-20
EarthCoin,EAC,2013-12-28
42 Coin,42,2014-01-13
Prime-XI,PXI,2014-10-04
Vidio,VDO,2014-10-20
Phalanx,PXL,2015-04-07
Phoenixcoin,PXC,2013-07-04
InstantDEX,DEX,2014-09-14
AsiaCoin,AC,2014-04-20
DigiCube,CUBE,2015-10-24
iCoin,ICN,2014-02-17
SpaceCoin,SPACE,2015-09-09
IcebergCoin,ICB,2014-07-16
AeroMe,AM,2014-07-07
Startcoin,START,2014-06-15
UCoin,U,2014-11-16
CHNCoin,CNC,2013-05-08
Coin(O),CNO,2014-03-18
ConcealCoin,CNL,2014-07-21
IncaKoin,NKA,2015-01-27
ZcCoin,ZCC,2014-08-05
DNotes,NOTE,2014-03-08
Krugercoin,KGC,2013-07-07
Nakas,NKT,2014-12-28
X-Children,CHILD,2014-09-20
SuperCoin,SUPER,2014-05-26
EZCoin,EZC,2013-07-04
