symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
ENRG,energycoin,Energycoin,0.00120127,4.03231e-05,29.7911122904737,29.7911122904737,2.4700057366920056,5.371734686350725,5.734273885917598,4.375144266952078,5.101205458773665,345.241774938538,1774.4775679047618,1257404.7236130964,2773955.183053498,207835.5485129999,74528.057852,756957643.615084,116506117.68824692,1,False,False,False,False,False,False,True,2014-05-15
NOXT,noblenxt,NobleNXT,0.157969,0.0186012,8.492409091886545,8.492409091886545,2.2247118221571265,2.457590312707922,2.4882342519079845,1.4929754107245867,1.4941965875488012,151.26266817244894,2156.387,1429.5934274576584,13653.284798961056,59294.965923599986,2156.387,560400.6235634021,13653.284798961056,1,False,False,True,False,False,False,False,2014-12-06
XCO,x-coin,X-Coin,0.00164682,5.93659e-05,27.74016733511999,27.74016733511999,4.113954249427306,5.377543437101148,5.377543437101148,3.8448812597683935,3.8448812597683935,135.37198584071663,2596.58,316057.1352404049,1576723.624925614,41559.199653100004,2596.58,97029540.51880431,1576723.624925614,2,False,False,False,False,False,False,True,2015-03-05
LTCD,litecoindark,LitecoinDark,0.0131018,8.98483e-05,145.82134553464005,145.82134553464005,135.73070583737967,14.427102784005292,14.85437698095792,3.9108063462578118,4.133746647184324,3424.235846578495,135659.30000000002,1022113.2424462799,16527447.574025363,1653905.913897413,406977.9,493680696.10155314,49582342.72207609,2,False,False,False,False,False,False,False,2014-09-11
CHIPS,smartchips,SmartChips,0.136465,3.2077e-05,4254.294354210182,105.88285499251259,78.12687853163948,12.127686164540242,31.084828543094858,26.04664743874382,22.586305842166183,719.5801932487803,618.6039611124461,137344.0193269639,117249.38009248265,177016.72753919996,144134.72293919994,33786628.75443312,27319105.561548457,1,False,False,False,False,False,False,False,2015-05-06
LFO,local-family-owned,Local Family Owned,0.00164702,2.38564e-05,69.03891618182122,39.44759664783328,3.3581470267404754,7.152625425497103,37.90432607258424,13.443064315881792,4.025708852396215,10.742601740752608,11.733469094611186,87681.683355904,95951.27834441885,1976.63872029848,1971.2228078946794,16133429.737486335,16119814.761862367,3,False,False,False,False,False,False,False,2015-07-07
IVZ,invisiblecoin,InvisibleCoin,0.00720617,0.000283998,25.374016718427594,25.374016718427594,4.113439430091446,2.5365918196466515,2.9758764539541835,1.6979378152566231,1.4430924586972333,202.19859889870128,1029.9061666666666,47642.59617272575,284677.29861582915,15569.292115199998,6179.437,3668479.905299883,1708063.7916949748,1,False,False,False,False,False,False,False,2015-10-12
PLANET,planetcoin,PlanetCoin,0.000459268,2.02975e-05,22.626825963788644,22.626825963788644,3.276904525768267,2.9363336702818654,7.332428250990238,2.0453985844209033,2.264921210704309,1.6662527390243909,18.38951783333334,7420.832702665854,77238.1260186087,478.21453610000015,441.3484280000002,2129778.9856651,1853715.024446609,1,False,False,False,False,False,False,False,2015-03-22
DEX,instantdex,InstantDEX,2.36747,0.303638,7.797014866386947,7.797014866386947,6.077432736663492,2.292020149404271,2.385568076531029,2.1748075269753375,2.4133275056768353,513.2558058854165,4195.491909090909,471.4875330641556,1935.9092424362236,246362.78682499993,46150.411,226314.0158707947,21295.00166679846,1,False,False,False,False,False,False,False,2014-09-14
SHND,stronghands,StrongHands,0.000828251,3.46558e-05,23.89934729540221,23.89934729540221,12.791955865681924,4.039526724276608,7.014468778419782,4.102057050847591,5.703916831157688,104.26846977283586,185.940728989,516407.7213462468,557712.8048697952,6985.987474780002,3718.8145797800003,34599317.330198534,11154256.097395904,0,False,False,False,False,False,False,False,2015-10-30
NXTI,nxtinspect,NXTInspect,0.107666,0.00989651,10.87918872410577,10.87918872410577,5.527711461943269,2.3393891498880355,2.3835245811182997,2.263300779632093,2.2092374778489816,61.69196806153844,332.13425,1296.8576840480573,8993.639106186922,28069.84546799999,1992.8055,590070.246241866,53961.83463712153,2,False,False,True,False,False,False,False,2014-10-09
NEC,neocoin,Neocoin,0.0122449,5.01109e-05,244.3560183512968,244.3560183512968,177.2111413098536,9.123836156383385,10.647913682266006,13.118444320019872,18.40302839180428,55.87249316862673,559.4381863636364,59858.405593620235,86481.42479679885,36372.993052776,12307.6401,38967822.041446775,1902591.3455295747,1,False,False,False,False,False,True,False,2014-03-26
