symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
PYC,paycoin,Paycoin,7.1937e-05,1.84e-06,39.09619565217391,39.09619565217391,39.09619565217391,9.909565693492828,11.802623350986112,2.0556503998508644,2.055077143728671,22281,1,False,False,False,True,False,False,False,2014-12-06
GREXIT,grexit,Grexit,2.6795e-06,4.00084e-08,66.97343557852851,22.339778061245756,4.3943446694688575,4.099132533908813,4.16168951538653,3.5081744124257526,3.6170112242762937,727,1,False,False,False,False,False,False,False,2015-07-23
XLM,stellar,Stellar,2.33209e-05,3.25369e-06,7.1675236423875655,5.783049771489078,5.783049771489078,2.1596474330344684,1.7313953530511943,1.8314304406879078,1.5164120147904874,22579465,7,False,True,True,False,True,False,True,2014-08-05
KORE,korecoin,KoreCoin,0.000289919,6.24e-06,46.4613782051282,46.4613782051282,14.517726589884825,4.128042014994034,4.671438846263306,1.4314736383373432,1.904923287309663,738785,1,False,False,False,False,False,False,True,2014-06-21
FRDC,freedomcoin,FreedomCoin,3.29076e-05,2.5049e-06,13.13729090981676,13.13729090981676,11.546526315789476,2.100907250752948,2.153546788636251,1.4904202492579657,1.5200275750533452,1281,1,False,False,False,False,False,False,False,2015-09-21
XLB,libertycoin,Libertycoin,0.000146847,5.05878e-07,290.2814512589992,290.2814512589992,185.88227848101266,23.29415390013998,28.932015134115645,1.8232650034686253,1.686302637692287,4269312,1,False,False,False,True,False,False,False,2014-05-13
CAIx,caix,CAIx,0.00117007,2.49e-06,469.9076305220884,469.9076305220884,469.9076305220884,9.442698326201516,14.59846906876738,1.5012625278207998,1.3490018954574654,3495244,1,False,False,False,True,False,False,False,2014-04-15
IFC,infinitecoin,Infinitecoin,1.936e-07,2.4629e-09,78.6065207682001,17.549425745805273,17.549425745805273,4.743620600789898,2.1801306448853204,1.6657456568205642,1.6224125594679364,11969119,7,False,False,True,True,False,True,False,2013-07-10
NEU,neucoin,NeuCoin,6.32117e-05,1.77806e-05,3.5550937538665734,3.5550937538665734,3.5550937538665734,2.326498397939645,2.326498397939645,1.8820521171571347,1.8820521171571347,354512,2,False,False,False,True,False,False,True,2015-09-25
SLING,sling,Sling,0.000912011,2.987e-05,30.532674924673586,30.532674924673586,30.532674924673586,3.7442772695110325,3.7442772695110325,1.5777052875880209,1.5777052875880209,413026,3,False,False,False,True,False,False,True,2015-04-21
PLNC,plncoin,PLNcoin,2.70543e-05,1.80055e-07,150.2557551859154,150.2557551859154,9.048260869565217,7.669015042366249,9.053466765208757,1.8544498216532133,2.0080137825637716,39874,1,False,False,False,False,False,False,False,2014-04-15
PKB,parkbyte,ParkByte,0.000100039,5.49962e-06,18.190165866005284,14.294491764581483,14.230298719772405,5.012404314935458,6.194294368764197,4.919663235279266,6.090247380623163,10572,2,False,False,False,False,False,False,True,2015-05-18
PSEUD,pseudocoin,PseudoCash,0.000116254,1.14e-06,101.97719298245613,101.97719298245613,101.97719298245613,8.291335066978377,8.402430811097389,1.702615859849856,1.3377326135564784,147607,1,False,False,False,True,False,False,False,2014-07-21
CAID,coinaid,Coinaid,6.99966e-08,9.9996e-09,6.999939997599904,6.999939997599904,2.3333833368335783,2.123331837814172,2.148502686175375,1.5067108890859517,1.570322476605811,500,1,False,False,False,False,False,False,False,2015-09-15
NLG,guldencoin,Gulden,1.42702e-05,6.50168e-07,21.948481007985627,5.882556629634974,4.529992127384006,3.732892088015968,2.9092951723605864,2.483829271461168,2.082964795529874,807263,4,False,False,False,False,False,False,True,2014-04-08
TENNET,tennet,TenneT,2.46499e-06,8.37405e-08,29.436055433153612,29.436055433153612,6.319660762310569,4.135638263043151,4.197690890401708,3.3146416713485953,3.315340629568371,4061,2,False,False,False,False,False,False,False,2015-08-10
GCC,guccionecoin,GuccioneCoin,1.38958e-06,4.33536e-08,32.05224018305285,32.05224018305285,23.15966666666667,5.465900239310846,5.743901660492601,2.3330091441142846,2.5225514258726145,854,2,False,False,False,False,False,False,False,2015-08-20
DOGED,dogecoindark,DogeCoinDark,1.29866e-07,7.3538e-09,17.659713345481247,3.2486641717865075,2.644503226568434,3.5202300632464727,2.398052871665689,1.6090927401607964,1.5000236411679626,360094,9,False,False,False,True,False,False,True,2014-10-25
WOP,worldpay,WorldPay,4.78156e-06,1.99829e-08,239.2825866115529,239.2825866115529,79.69266666666667,9.5692822652263,11.882233512847682,1.702125100568394,1.7483436234897722,4719,1,False,False,False,False,False,False,False,2015-10-12
CSC,casinocoin,CasinoCoin,9.32121e-05,1.06e-06,87.9359433962264,87.9359433962264,1.0695458806601408,11.182013536345965,15.09567032090829,4.134832280889832,4.134832280889832,405958,4,False,False,False,True,False,False,False,2013-07-25
GCN,gcoin,GCoin,1.9947e-09,1.047e-10,19.051575931232094,9.544019138755981,9.544019138755981,4.890542859781126,3.8284176596169806,2.712798628593103,2.298841913658729,6941,2,False,False,False,False,False,False,False,2014-11-16
SHA,shacoin,SHACoin,3.68779e-07,9.9937e-09,36.901147723065534,36.901147723065534,12.292633333333335,5.18132473961481,5.431172192957375,1.8349200213897863,1.9301293978729461,10689,1,False,False,False,False,False,False,False,2014-06-25
GCR,global-currency-reserve,Global Currency Reserve,0.00022229,7.24152e-06,30.696594085219676,30.696594085219676,9.706986899563319,4.680796755439086,5.390244483368778,2.8626792329650477,3.377792721678488,2233440,3,False,False,False,False,False,False,True,2015-08-26
MOTO,motocoin,Motocoin,5.89979e-05,6e-08,983.2983333333334,983.2983333333334,80.81904109589041,8.348677770558218,9.153180325556674,2.9775139504527757,2.7318895116610094,36011,1,False,False,False,False,False,False,False,2014-06-03
SHADE,shadecoin,ShadeCoin,0.000270054,1.6e-06,168.78375,168.78375,168.78375,25.370206552040138,25.370206552040138,2.7769879925415384,2.7769879925415384,117253,1,False,False,False,True,False,False,False,2014-09-06
RT2,rotocoin,RotoCoin,0.00750878,1.14968e-05,653.1191288010576,653.1191288010576,125.14633333333332,18.80901278783659,20.543781532166722,4.691142492501173,5.591940609982112,49022,1,False,False,False,True,False,False,False,2014-03-29
MONETA,moneta2,Moneta,4.00007e-05,9.9701e-09,4012.0660775719402,4012.0660775719402,4000.0699999999997,13.359321641644918,13.359321641644918,3.8132581197838666,3.8132581197838666,6495,1,False,False,False,False,False,False,False,2015-10-24
CAGE,cagecoin,CageCoin,9.12e-10,1.8e-11,50.666666666666664,50.666666666666664,9.549738219895287,4.1491118489678245,4.582460698670879,2.5590670961802457,3.539052096119469,8177,2,False,False,False,False,False,False,False,2014-04-15
LEAF,leafcoin,LeafCoin,2.47258e-07,6.303e-10,392.2862129144852,392.2862129144852,190.8296673612719,20.27609279516637,21.036625891601428,1.7815802136548498,2.08051968817226,651216,2,False,False,False,True,False,False,False,2014-02-02
GSY,genesyscoin,GenesysCoin,7.39967e-05,8.03012e-06,9.214893426250168,9.214893426250168,2.6427392857142857,2.8363657307578394,2.848148480711703,2.032072423245387,2.0086859202538596,5312,1,False,False,False,False,False,False,False,2015-09-15
XCE,cerium,Cerium,1.3011e-05,2.05e-06,6.346829268292683,6.346829268292683,6.346829268292683,1.464599263119649,1.562326194881365,1.4236421709403533,1.3695499370385735,9554,1,False,False,False,False,False,False,False,2015-06-10
XCH,clearinghouse,ClearingHouse,5.83892e-06,2.8e-07,20.85328571428571,20.85328571428571,20.85328571428571,2.7119608746738466,2.73033332539103,1.4935268190089281,1.4920768972794407,46380,2,False,False,True,False,False,True,False,2014-10-04
DOGE,dogecoin,Dogecoin,2.84242e-06,2.30997e-07,12.305008290150955,12.305008290150955,8.532003794109524,3.7793244076354244,3.955886690608787,2.273650955642969,2.541107215936488,437683796,44,False,True,True,True,True,True,True,2013-12-15
XCN,cryptonite,Cryptonite,7.59837e-05,3.50188e-07,216.97973659862703,216.97973659862703,155.54334141922806,18.912240483709894,18.912240483709894,2.3128404523524244,2.3128404523524244,406755,3,False,False,True,False,True,True,False,2014-08-02
BTX,bitcointx,BitcoinTX,6.29519e-06,2.09918e-07,29.988805152488116,29.988805152488116,5.2900756302521,6.63328580538082,7.703851299174572,1.2042681267522024,1.223763638084201,173929,1,False,False,False,False,False,False,False,2015-04-26
MOON,mooncoin,Mooncoin,2.45932e-07,2.807e-10,876.1382258639115,876.1382258639115,433.58956276445696,25.453054219681114,25.945945461544223,2.3967005104717902,2.360741414157055,4341958,4,False,False,False,True,False,False,False,2014-01-06
XCR,crypti,Crypti,2.30019e-05,3.2397e-06,7.1000092601166775,7.1000092601166775,3.588652681438213,2.2727394625718134,2.357538781890334,1.3294555267963082,1.3906902949785467,992877,3,False,False,True,True,False,True,False,2014-08-07
XCP,counterparty,Counterparty,0.0218774,0.00161993,13.50515145716173,13.50515145716173,13.50515145716173,3.3705724631958716,2.917247454638845,2.288765270540245,1.6069660538382309,7575361,6,False,False,True,False,False,True,True,2014-02-15
BTA,bata,Bata,6.80897e-06,6.82194e-07,9.980987812850891,1.0,1.0,3.455619448424824,1.0,2.8968955753507073,0.9999999999999999,239,6,False,False,False,False,False,False,True,2015-05-29
BTC,bitcoin,Bitcoin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20385022510,69,True,True,True,False,True,True,False,2013-04-28
BTB,bitbar,BitBar,0.89421,0.00068821,1299.327240231906,1299.327240231906,384.08937645234585,27.515910906118975,27.515910906118975,9.694970258737554,9.694970258737554,728176,3,False,False,False,True,False,True,False,2013-05-09
BTM,bitmark,Bitmark,0.00195578,5.18188e-05,37.74267254355562,37.74267254355562,20.6540771045556,4.411484582657184,4.543755368202954,1.5724457337445188,1.5599908336499642,622983,2,False,False,True,True,False,False,False,2014-08-19
SSD,sonicscrewdriver,Sonic,2.94508e-05,1.05e-06,28.048380952380953,28.048380952380953,8.97890243902439,4.860170462182809,5.289795305333201,1.9448002669776308,1.5372441867933915,404994,1,False,False,False,False,False,False,True,2014-08-12
JBS,coinmarketscoin,Jumbucks,0.000144981,7.43421e-06,19.501870407212063,2.244381731124985,2.244381731124985,2.6258098016078835,1.2783632865687269,2.1985146354627396,1.2663056706528988,380759,2,False,False,False,True,False,False,True,2014-09-07
EMD,emerald,Emerald Crypto,6.002e-05,1.05959e-06,56.644551194329885,56.644551194329885,28.580952380952382,12.186622317400321,12.186622317400321,6.453431227397139,6.453431227397139,51560,1,False,False,False,True,False,False,False,2013-08-04
ISR,isracoin,Isracoin,0.000604306,1.4e-07,4316.471428571428,4316.471428571428,4316.471428571428,24.041660240664857,24.248376127230788,2.0393216447657827,2.018418834855296,420532,0,False,False,False,False,False,False,False,2014-04-08
SWING,swing,Swing,0.000176172,4.95464e-06,35.55697285776565,35.55697285776565,21.564626433229,3.1705997598815827,3.3349820844126747,1.5833736512252223,1.5722520369077637,20572,2,False,False,False,False,False,False,True,2015-09-28
CHAO,23-skidoo,23 Skidoo,32.0305,12.105,2.646055349029327,2.646055349029327,2.135366666666667,2.059288515149503,2.046393567153947,1.4028321059291469,2.1121476548060665,380,1,False,False,False,False,False,False,False,2015-07-25
SPHR,sphere,Sphere,3.54705e-05,4.00494e-06,8.856686991565416,3.8071057817390295,2.533607142857143,1.9695588931235528,1.9277472768823585,2.1127039341730267,1.7917585335392816,69186,1,False,False,False,False,False,False,True,2015-05-02
MUE,monetaryunit,MonetaryUnit,7.96608e-06,4.09902e-08,194.341086406019,194.341086406019,49.74198866048904,13.944545148698033,13.969976221005988,5.155664333022882,5.117159567019416,14604,5,False,False,False,False,False,False,True,2014-11-01
CURE,curecoin,CureCoin,0.00138158,1.46504e-05,94.30322721563917,94.30322721563917,55.264305286105724,18.21813800691723,18.21813800691723,4.106448197796028,4.106448197796028,76804,2,False,False,True,False,False,False,True,2014-05-26
ISL,islacoin,IslaCoin,2.32357e-05,1.5e-06,15.490466666666665,15.490466666666665,15.490466666666665,2.630136024929791,2.9057850545523003,1.3973598274232608,1.5458350618994032,19495,2,False,False,False,False,False,False,False,2015-09-28
GBC,gbcgoldcoin,GBCGoldCoin,0.0158291,0.00516981,3.061833993899195,3.061833993899195,1.835736858890725,1.313366555919795,1.313366555919795,1.43906472489273,1.43906472489273,3895,1,False,False,False,False,False,False,False,2015-12-05
DGB,digibyte,DigiByte,1.85318e-06,1.09935e-07,16.85705189430118,16.85705189430118,6.284756959870315,4.63550446804912,4.63550446804912,3.3213819455724263,3.3213819455724263,2057985,7,False,False,True,True,False,False,True,2014-02-06
DGC,digitalcoin,Digitalcoin,0.000794928,1.25298e-05,63.44299190729301,63.44299190729301,31.44568304627483,7.360257322558562,10.80621141519588,4.060480116503829,4.060480116503829,3274270,9,False,False,False,True,True,True,True,2013-06-09
ECC,eccoin,ECCoin,9.94776e-08,7.44e-10,133.70645161290324,133.70645161290324,45.241768237220306,7.015965999328778,8.093077967147535,1.5574612910691048,1.44015724284089,925146,2,False,False,False,False,False,False,False,2014-03-20
CRT,crtcoin,CRTCoin,0.00385066,6.35561e-06,605.8678867960747,605.8678867960747,192.533,8.766497028832505,13.20214455794646,1.4836792038337532,1.5651051654563495,5717996,1,False,False,False,False,False,False,False,2014-05-11
BITB,bitbean,BitBean,1.09739e-06,9.04089e-08,12.138074901917843,10.525816012354086,10.525816012354086,2.8077721265130333,1.8202038832696958,2.728012512647161,1.5030082693689117,269171,4,False,False,False,True,False,False,True,2015-02-18
ASC,asiccoin,AsicCoin,4.90187e-06,2.14441e-08,228.58828302423512,228.58828302423512,108.4179887509483,18.71299114561538,19.53533950224805,1.6479477460450629,1.6953050108388352,984294,1,False,False,False,True,False,False,False,2013-12-31
BITZ,bitz,Bitz,4.9966e-05,2.39964e-07,208.22290010168194,41.65638443325441,3.9405362776025235,8.782323832630306,5.406294193882686,6.808328685050287,5.627065036431536,7734,5,False,False,False,False,False,False,True,2015-03-08
KUMA,kumacoin,Kumacoin,1.03251e-06,1.99896e-08,51.65235922679793,51.65235922679793,44.19745476493174,7.216307014092916,7.1782160484690305,5.490774078693614,5.372078064011807,4458,1,False,False,False,False,False,False,False,2014-08-02
X2,x2,X2,6.99126e-08,4.99877e-08,1.398596054629439,1.16521,1.16521,1.1659048793080673,1.0763020676978217,1.175920957204963,1.037635813739264,99,1,False,False,False,False,False,False,False,2015-12-15
QTL,quatloo,Quatloo,0.000284338,1.8684e-06,152.1826161421537,25.80176223446248,18.47658407574192,7.4204609022288555,7.828367777162662,2.3128323519185314,2.257419335079144,620836,2,False,False,True,False,False,False,True,2014-07-12
BITS,bitstar,Bitstar,2.73657e-05,9.08427e-07,30.124269754201496,30.124269754201496,5.910518358531318,2.947835310456946,2.947835310456946,2.303603811218673,2.303603811218673,149541,2,False,False,True,False,False,False,True,2014-04-23
