symbol,name,children_amount,algorithm,technical,premine,pos
ATO,Atomcoin,0,Quark,0,0,0
MOL,Molecule,0,Quark,0,0,0
SEC,Secondcoin,0,Quark,0,0,0
DRK,Darkcoin,99,X11,1,0,0
CC,Color-Coin,0,X11,0,1,1
Sync,Sync,0,X11,0,1,1
RTC,RIGHTCOIN,0,X11,0,1,1
MLGB,Malegebe,0,X11,0,0,0
ACC,Antarcticcoin,0,X11,0,1,0
KRYP,Kryptonite,0,X11,0,1,0
GRN,GraniteCoin,0,X11,0,1,0
PURE,PureCoin,0,X11,0,1,0
NAC,Napalcoin,0,X11,0,1,0
HPC,HAPPYCOIN,0,X11,0,1,1
suc,StarbucksCoin,0,X11,0,0,1
NL,Nanolite,0,X11,0,1,1
LTCX,LiteCoinX,0,X11,0,1,0
Iaura,Iaurab Coin,0,X11,0,1,1
BS,BitSlap,0,X11,0,1,0
Voot,VootCoin,0,X11,0,1,1
LIMX,LimeCoinX,0,X11,0,1,0
GRE,GoldReserve,0,X11,0,1,0
WCC,WorldCupCoin ,0,X11,0,0,1
MIN,Minerals,0,X11,0,0,1
TRS,Triskelecoin,0,X11,0,0,1
KiB,Kibweecoin,0,X11,0,0,1
LIT,Lightcoin,0,X11,0,1,1
FRAC,Fractalcoin,0,X11,0,1,0
WVS,WaveCoin,0,X11,0,1,1
gue,Guerillacoin,0,X11,0,0,1
NeWO,NeWOcoin,0,Multi-algo,1,0,1
GOD,Godcoin,0,X11,0,1,1
HODOR,HODORCOIN,0,X11,0,1,1
SPCC,Sportcoin,0,X11,0,1,1
BULBA,BulbaCoin,0,X11,0,1,1
TRUST,TRUSTplus,0,X11,0,1,1
PP,PeerPay,0,X11,0,1,1
CSO,CSCoin,0,X11,0,0,1
MHYC,MachineryCoin,0,X11,0,1,1
LOL,LeagueCoin,0,X11,0,0,1
MIL,Millionaire Coin,0,X11,0,0,1
PIGGY,New Piggycoin,0,X11,0,1,1
BOOTY,TreasureHuntCoin,0,X11,0,1,1
LIN,Linearcoin,0,X11,0,0,1
SND,Soundcoin,0,X11,0,0,1
BBL,BitBlock,26,X-n,1,0,0
FIRE,Firecoin,0,X-n,0,0,1
CORE,Corecoin,0,X-n,0,1,1
ALEA,Aleacoin,0,X-n,0,1,1
ISIS,Isiscoin,0,X-n,0,1,1
Dino,DinosaurCoin,0,X-n,0,1,1
POS,PosCoin,0,X-n,0,0,1
ANG,AngelCoin,0,X-n,0,0,1
COF,CoffeeCoin,0,X-n,0,0,1
SPATA,Spartacus,0,X-n,0,1,1
BACK,Backpacker,0,X-n,0,1,1
MInC,MinersCoin,0,X-n,0,0,0
LIZE,Lizarde,0,X-n,0,0,1
NHC,Neverhoodcoin,0,X-n,0,1,1
City,CityCoin,0,X-n,0,0,1
FBIT,FileBit,0,X-n,0,0,1
LIMI,LimiCoin,0,X-n,0,1,1
CRYSTAL,CrystalCoin,0,X-n,0,0,1
BBC,BigBangCoin,0,X-n,0,1,1
OT,OverTime,0,X-n,0,1,1
XDE,DoubleEagle,0,X-n,0,0,1
NMB,Nimbus,0,X-n,0,0,1
GRYF,GryfenCoin,0,X-n,0,1,1
VLT,VolatilityCoin,0,X-n,0,0,1
HTML5,Swapping,0,X-n,0,0,1
B1bl3,B1bl3Coin,0,X-n,0,1,1
U,UCoin,0,X-n,0,1,1
SRZ,SuarezCoin,0,X11,0,1,1
RW,RedWire,0,X11,0,0,1
XAN,Xanoncoin,0,X11,0,0,1
FVZ,FVZcoin,0,X11,0,1,1
ELTC,EliteCoin,0,X11,0,0,1
ESC,ESportsCoin,0,X11,0,0,1
TEX,Texas Coin,0,X11,0,1,1
MC,MultiCoin,0,X11,0,0,1
FUSE,Fusecoin,0,X11,0,1,1
WITCH,WitchCoin,0,X11,0,0,1
ZEB,Zebracoin,0,X11,0,1,1
CLD,XCloudcoin,0,X11,0,0,1
BTO,Bitore,0,X11,0,1,0
BIZ,BizCoin,0,X11,0,1,1
Pal,PalestineCoin,0,X11,0,1,1
MWC,MultiWalletCoin,0,X11,0,1,1
DSV,DSValue,0,X11,0,1,1
MTS,Mantis,0,X11,0,1,1
MAG,MagCoin,0,X11,0,0,0
VMINE,VMINE,0,X11,0,0,1
DEPO-GBP,DEPO,0,X11,0,1,1
XCR,CRYPTI,0,X11,0,0,0
X14,X14coin,2,X-n,1,1,0
SOLE,Solecoin,0,X-n,0,0,1
BCSH,BitCash,0,X-n,0,0,1
CYX,Cryptex,0,X11,0,1,1
TMC,TheoremCoin,0,X11,0,1,1
RACE,Racecoin,0,X11,0,1,1
AZC,AzzaCoin,0,X11,0,0,1
AMBER,AmberCoin,0,X11,0,0,1
LMR,LemurCoin,0,X11,0,1,0
CryptoXTC,CryptoXTC,0,X11,0,1,0
XURO,Xuro,0,X11,0,1,1
GLY,GOLDEN LOAF YANUKOVICH,0,X11,0,0,0
MWC,multiwallet,0,X11,0,1,1
Neos,Neoscoin,0,Multi-algo,1,1,0
EQX,Equinox,0,X11,0,0,1
CCB,CryptoClub,0,X11,0,1,1
TNZ,Tanzanite,0,X11,0,1,1
CRCK,CrackCoin,0,X11,0,0,1
CHILD,x-children,0,X11,0,0,0
ROS,ROSCOIN,0,X11,0,1,1
STC,scattercoin,0,X11,0,0,1
Envy,Envy Coin,0,X11,0,0,0
EXCL,Exclusive Coin,0,X11,0,0,1
DP,DigitalPrice,0,X11,0,0,0
MTC,MetalCoin,0,X11,0,0,0
METAL,MetalCoin,0,X11,0,1,1
GHOST,GhostCoin,0,X11,0,0,1
WSTL,WhistleCoin,0,X11,0,1,1
SPARK,Spark,0,X11,0,1,1
OPTI,OptimumCoin,0,X11,0,1,1
MOB,Mobcoin,0,X11,0,1,1
NKT,Nakamotodark,0,X11,0,0,1
LFTC,LFTCCoin,0,X11,0,1,1
CBR,CryptoBancor,0,X11,0,1,1
WeTk,Weed Tokens,0,X11,0,1,1
DGORE,Dogegorecoin,0,X11,0,0,1
SMAC,SMAC Coin,0,X11,0,0,0
ZUR,Zurcoin,0,Quark,0,1,0
VLD,Vanillacoin,0,Quark,0,0,0
ANI,Animecoin,0,Quark,0,0,0
WIKI,Wikicoin,0,Quark,0,1,0
