coin, max_price, min_price, severity_to_min_price, severity_to_min_price_after_max, severity_to_last, severity_to_average, severity_to_average_after_max, severity_to_average_volume_weighted, severity_to_average_after_max_volume_weighted
FRAC, 0.00016462, 1.93e-06, 85.2953367876, 85.2953367876, 10.9382059801, 6.78658787962, 6.79656403186, 6.27797431042, 6.29616551225
HAM, 100000.0, 1.881e-05, 5316321105.79, 5316321105.79, 3443526170.8, 42.9999996107, 42.9999996107, 4544074243.52, 4544074243.52
DASH, 0.019, 0.00880008, 2.15907128117, 2.15907128117, 1.99174369823, 1.59817361262, 1.59817361262, 1.46670041185, 1.46670041185
THC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
CINNI, 0.00024, 2.15e-06, 111.627906977, 111.627906977, 93.3852140078, 10.6836279107, 11.9391049199, 3.27936301365, 3.4934193306
PHO, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
ZEIT, 2e-08, 1e-08, 2.0, 1.0, 1.0, 1.33333333333, 1.0, 1.9999696733, 1.0
ROOT, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
SYS, 1e-05, 6e-07, 16.6666666667, 16.6666666667, 8.19672131148, 5.00816247475, 5.03669391969, 5.48599669088, 5.48600177486
LXC, 0.00015516, 8e-06, 19.395, 19.395, 13.492173913, 3.53708123987, 4.01880673317, 3.97812630172, 7.26762985553
MZC, 3.54e-05, 1e-07, 354.0, 354.0, 160.909090909, 42.484855412, 42.484855412, 31.2747729033, 31.2747729033
EMD, 9.38e-05, 1.02e-06, 91.9607843137, 89.3333333333, 64.6896551724, 12.2628699125, 15.858385031, 10.1265504527, 12.8795765801
DMD, 0.00581504, 2.501e-05, 232.508596561, 232.508596561, 5.81504, 8.79137841394, 8.96935637994, 8.94027179673, 8.99868489528
CRW, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
CRT, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BELA, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
GRS, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
SHIBE, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
ACOIN, 0.00015, 9.03e-06, 16.6112956811, 16.6112956811, 15.7728706625, 3.99124986166, 4.03583242647, 4.14378967953, 4.16485847877
XDN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TCO, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BUN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
XDQ, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
XDP, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
SWIFT, 0.0003015, 4.101e-05, 7.35186539868, 5.025, 2.71279467338, 1.95319056017, 1.78325866123, 2.08244947937, 2.20623333655
FIBRE, 0.000905, 7.77e-06, 116.473616474, 116.473616474, 4.07951676884, 2.09756360897, 2.13529569061, 1.61152892841, 1.65602820658
LIMX, 8e-06, 4e-06, 2.0, 2.0, 1.97044334975, 1.88167179302, 1.88167179302, 1.94270463633, 1.94270463633
ZET, 7.5e-05, 5.5e-07, 136.363636364, 61.9834710744, 13.6363636364, 4.63605752971, 4.1628160049, 5.21843829421, 2.82279107464
FOOD, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
VGC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
SXC, 1.42e-05, 5.2e-07, 27.3076923077, 27.3076923077, 11.2698412698, 6.1258033419, 6.20563465419, 5.20227209427, 5.25778909412
XRP, 8.006e-05, 1.51e-06, 53.0198675497, 4.2159031069, 4.02513826043, 2.07076200795, 1.92788685364, 1.94370370157, 1.81819594201
ULTC, 0.00130033, 5.01e-06, 259.546906188, 259.546906188, 92.8144182727, 28.6957589417, 31.2876154578, 40.4553849685, 40.6194399852
MARYJ, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
UNAT, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
ANC, 0.0093001, 1e-08, 930010.0, 232502.5, 19.7836584484, 6.58615626772, 6.49915695537, 6.42550564182, 6.29393051212
NVC, 0.05610001, 0.00102111, 54.9402219154, 54.9402219154, 14.6312482722, 5.0086591661, 6.18282780422, 10.4131079789, 11.0943146287
FRSH, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
DSH, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
DVC, 1.32e-06, 3e-08, 44.0, 44.0, 44.0, 7.69361031801, 7.75698518445, 5.53676647111, 5.53693807056
ETC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
FST, 0.00010511, 1e-07, 1051.1, 1051.1, 218.979166667, 19.2809051943, 21.6419790468, 14.9193263132, 16.6162521301
COL, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
CON, 1.025e-05, 5.11e-06, 2.00587084149, 2.00587084149, 1.65322580645, 1.27927294182, 1.34917392883, 1.24112059612, 1.24150247935
CASH, 0.000452, 5e-07, 904.0, 904.0, 84.4859813084, 31.4417805725, 32.2350425642, 47.6876862393, 48.5875888418
KDC, 4.253e-05, 1e-06, 42.53, 42.53, 28.7364864865, 8.76686328428, 8.76686328428, 5.58073128718, 5.58073128718
VRC, 0.00043692, 3e-05, 14.564, 14.564, 6.14860681115, 4.53179561781, 4.82674585913, 2.79110704173, 3.38649405786
QORA, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
ZS, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
SRC, 0.00233, 2.923e-05, 79.7126240164, 79.7126240164, 26.8402257804, 8.53619042687, 9.061796299, 7.6839695993, 8.6210402617
FAIR, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
DIME, 1e-08, 1e-08, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
XMG, 4.805e-05, 3.8e-05, 1.26447368421, 1.0, 1.0, 1.06847822461, 1.0, 1.123594411, 1.0
HEX, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
COMM, 1.21e-06, 2e-08, 60.5, 60.5, 17.2857142857, 10.507334246, 10.507334246, 6.56357630245, 6.56357630245
XMR, 0.00239995, 0.0014598, 1.64402657898, 1.64402657898, 1.56651632148, 1.22656611154, 1.23876392442, 1.20047433388, 1.20290370702
DRS, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BILS, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
NMC, 0.00867996, 0.00028, 30.9998571429, 17.3581841816, 5.69569867778, 2.56970318649, 2.98766713497, 2.36032917103, 2.83963110053
EVENT, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
MNTA, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
DIG, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
HYP, 5e-05, 8.4e-07, 59.5238095238, 59.5238095238, 26.0416666667, 12.6164013217, 12.6164013217, 21.7904526878, 21.7904526878
LOT, 4.2e-07, 1e-08, 42.0, 42.0, 42.0, 6.0618556701, 6.32786885246, 3.82363972789, 4.13600342964
ARCH, 0.00054005, 2.51e-05, 21.515936255, 13.3808225966, 11.199709664, 4.4438441886, 3.45893253724, 4.62173506709, 4.64148058901
PPC, 0.00781009, 1e-07, 78100.9, 77.9839241138, 5.20284187806, 3.12200088871, 2.94742221045, 2.68064881718, 2.7767271737
XXX, 8.28e-06, 2e-07, 41.4, 41.4, 9.62790697674, 5.55683015334, 8.17579864472, 5.02657653337, 9.88349210304
SOL, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
QCN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
NSR, 9.82e-06, 2e-07, 49.1, 1.0, 1.0, 1.30814411141, 1.0, 1.69269956531, 1.0
UTC, 0.00025514, 4e-06, 63.785, 63.785, 53.1541666667, 6.40264738913, 6.93971208616, 8.70102604065, 9.49486596022
BRIT, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
XCASH, 0.00023, 3.44e-06, 66.8604651163, 66.8604651163, 64.4257703081, 8.26858740383, 8.47963483146, 6.2652103953, 7.61878631963
