symbol,name,ann
SUN,Suncoin,https://bitcointalk.org/index.php?topic=485677.0
SOCHI,Sochicoin,https://bitcointalk.org/index.php?topic=454536.0
ZED,Zedcoin,https://bitcointalk.org/index.php?topic=432261.0
TOP,Topcoin,https://bitcointalk.org/index.php?topic=765196.0
AUR,Auroracoin,https://bitcointalk.org/index.php?topic=446062.0
BELI,Beli,https://bitcointalk.org/index.php?topic=460810.0
BELA,Bellacoin,https://cryptocointalk.com/topic/3845-ann-bellacoin-bela-scrypt-coin-announcement/
COIN,Coin,https://bitcointalk.org/index.php?topic=485846.0
PIGGY,PiggyCoin,https://bitcointalk.org/index.php?topic=633803.0
CCN,Cannacoin,https://bitcointalk.org/index.php?topic=482425.0
SVC,Sovereigncoin,https://bitcointalk.org/index.php?topic=489850.0
EXE,Execoin,https://bitcointalk.org/index.php?topic=491058.0
JNY,JennyCoin,https://bitcointalk.org/index.php?topic=527919.0
GAM,GammaCoin,https://bitcointalk.org/index.php?topic=538311.0
ISR,Isracoin,https://bitcointalk.org/index.php?topic=529409.0
YOLO,Yolocoin,https://bitcointalk.org/index.php?topic=602042.0
FREEB,FreebiesCoin,https://bitcointalk.org/index.php?topic=597273.0
MXT,MarteXcoin,https://bitcointalk.org/index.php?topic=598162.0
IDC,IndoCoin,https://bitcointalk.org/index.php?topic=612311.0
FUN,FunCoin,https://bitcointalk.org/index.php?topic=605315.0
AIM,AimCoin,https://bitcointalk.org/index.php?topic=617828.0
WFC,World Football Coin,https://bitcointalk.org/index.php?topic=616606.0
CFN,ConfessionCoin,https://bitcointalk.org/index.php?topic=606996.0
G8,G8Coin,https://bitcointalk.org/index.php?topic=667329.0
XXX,XXXCoin,https://bitcointalk.org/index.php?topic=665809.0
QTL,Quatloo,https://bitcointalk.org/index.php?topic=655793.0
FJC,FujiCoin,https://bitcointalk.org/index.php?topic=644601.0
AID,Aidcoins,https://bitcointalk.org/index.php?topic=637962.0
M.J,M.JCoin,https://bitcointalk.org/index.php?topic=665964.0
numc,Numbercoin,https://bitcointalk.org/index.php?topic=631948.0
RC,Russiacoin,https://bitcointalk.org/index.php?topic=630009.0
CZC,Czechcoin,https://bitcointalk.org/index.php?topic=596649.0
Kool,Koolio Coin,https://bitcointalk.org/index.php?topic=686727.0
RSC,RescueCoin,https://bitcointalk.org/index.php?topic=679760.0
LTCD,LitecoinDark,https://bitcointalk.org/index.php?topic=760143.0
CPTL,CapitalCoin,https://www.altcoincalendar.info/coins/676-CPTL
BMY,Bitmoney,https://bitcointalk.org/index.php?topic=689881.0
LNKC,LINKCOIN,https://bitcointalk.org/index.php?topic=724057.0
BLP,blueplanet coin,https://cryptocointalk.com/topic/14147-ann-blueplanet-coin-blp-launch-date-12th-august-2014-helping-to-preserve-our-oceans-the-creatures-that-live-in-them/
EVC,Evolvecoin,https://bitcointalk.org/index.php?topic=737226.0
GB,GreenBacks,https://bitcointalk.org/index.php?topic=740744.0
SYS,Syscoin,https://bitcointalk.org/index.php?topic=587080.0
BUY,BuyCoin,https://bitcointalk.org/index.php?topic=734708.0
ROOT,ROOTCOIN,https://bitcointalk.org/index.php?topic=714793.0
TRDR,Trader Coin,https://bitcointalk.org/index.php?topic=750763.0
MANA,Mana,https://bitcointalk.org/index.php?topic=760289.0
SHADE,Shade,https://bitcointalk.org/index.php?topic=768941.0
XBOT,SocialxBot,https://bitcointalk.org/index.php?topic=760803.0
CGA,Cryptographic Anomaly,https://bitcointalk.org/index.php?topic=771830.0
BTLS,BitLitS,https://bitcointalk.org/index.php?topic=777275.0
SLK,SleakCoin,https://hashtalk.org/topic/7310/sleakcoin-release-source-first-then-win-wallet-etc
SONG,Songcoin,https://bitcointalk.org/index.php?topic=804527.0
DPC,DarkPeer,https://bitcointalk.org/index.php?topic=795749.0
MTLMC3,Metal Music Coin,https://bitcointalk.org/index.php?topic=965360.0
SEED,Seedcoin,https://bitcointalk.org/index.php?topic=795954.0
SMBR,Sembro Token,https://bitcointalk.org/index.php?topic=819427.0
C2,Coin2,http://www.coin2talk.org/
ONE,1Coin,https://bitcointalk.org/index.php?topic=820302.0
DBU,DuBeUcoin,https://bitcointalk.org/index.php?topic=882763.0
VTR,vTorrent,https://cryptocointalk.com/topic/24630-annvtr-vtorrent-share-with-freedom-bittrex-c-cex-empoex/
INS,Insanity,https://bitcointalk.org/index.php?topic=893232.0
DIBS,Dibbits,https://bitcointalk.org/index.php?topic=1090982.0
DGMS,Digigems,https://bitcointalk.org/index.php?topic=913237.0
FSC2,Friendshipcoin 2,https://bitcointalk.org/index.php?topic=917364.0
DIGI,DIGI,https://bitcointalk.org/index.php?topic=934548.0
CARSI,Carsicoin,https://www.altcoincalendar.info/coins/1274-CARSI
XTR,Extractcoin,https://bitcointalk.org/index.php?topic=941697.0
EMC2,Einsteinium,https://bitcointalk.org/index.php?topic=494708.0
DDC,Dokdocoin,https://bitcointalk.org/index.php?topic=493712.0
BRD,Birdcoin,https://bitcointalk.org/index.php?topic=496363.0
EMO,Emoticoin,https://bitcointalk.org/index.php?topic=496129.0
EUC,Eurocoin,https://cryptocointalk.com/topic/6991-eurocoin-euc-information/
KIMO,KimoCoin,https://bitcointalk.org/index.php?topic=524216.0
RUP,RupayaCoin,https://www.altcoincalendar.info/coins/266-RUP
LEL,ComedyGold,https://bitcointalk.org/index.php?topic=549303.0
GIAR,Giarcoin,https://bitcointalk.org/index.php?topic=545529.0
FOF,FourOhFourCoin,https://bitcointalk.org/index.php?topic=515642.0
NLG,Gulden,https://bitcointalk.org/index.php?topic=554412.0
BUN,BunnyCoin,https://bitcointalk.org/index.php?topic=589180.0
LQC,Liquidcoin,https://bitcointalk.org/index.php?topic=60026.0
STY,Stories,https://bitcointalk.org/index.php?topic=451343.0
FRC,Freicoin,https://bitcointalk.org/index.php?topic=89843.0
ZTC,Zenithcoin,https://bitcointalk.org/index.php?topic=219644.0
PPC,Peercoin,https://bitcointalk.org/index.php?topic=99735.0
NVC,Novacoin,https://bitcointalk.org/index.php?topic=143221.0
YAC,Yacoin,https://bitcointalk.org/index.php?topic=206577.0
ONC,Onecoin,https://bitcointalk.org/index.php?topic=200177.0
ZCC,ZcCoin,https://bitcointalk.org/index.php?topic=268575.0
FRE,Freecoin,https://bitcointalk.org/index.php?topic=269669.0
CENT,Pennies,https://bitcointalk.org/index.php?topic=269145.0
APC,Applecoin,https://bitcointalk.org/index.php?topic=337782.0
ECO,Ecocoin,https://bitcointalk.org/index.php?topic=269312.0
KING,KingCoin,https://bitcointalk.org/index.php?topic=278834.0
PGC,Pangucoin,https://bitcointalk.org/index.php?topic=295918.0
MRC,Microcoin,https://bitcointalk.org/index.php?topic=397679.0
CACH,CACHeCoin,https://bitcointalk.org/index.php?topic=400389.0
VTC,Vertcoin,https://bitcointalk.org/index.php?topic=404364.0
ALT,Altcoin,https://bitcointalk.org/index.php?topic=459028.0
QQC,QQcoin,https://bitcointalk.org/index.php?topic=389238.0
JPU,J-coin,https://bitcointalk.org/index.php?topic=264556.0
None,Thorcoin,https://bitcointalk.org/index.php?topic=484815.0
FATE,Fatecoin,https://bitcointalk.org/index.php?topic=468889.0
HRC,Herocoin,https://bitcointalk.org/index.php?topic=466679.0
MCC,MadCowCoin,https://bitcointalk.org/index.php?topic=511988.0
BTG,Bitgem,https://bitcointalk.org/index.php?topic=207008.0
BITB,BitBar,https://bitcointalk.org/index.php?topic=193974.0
PHS,Philosopherstone,https://bitcointalk.org/index.php?topic=263744.0
CGB,CryptogenicBullion,https://bitcointalk.org/index.php?topic=245086.0
DMD,Diamond,https://bitcointalk.org/index.php?topic=255806.0
GRW,Growthcoin,https://bitcointalk.org/index.php?topic=267019.0
BAC,Basecoin,https://bitcointalk.org/index.php?topic=289946.0
CAP,Bottlecaps,https://cryptocointalk.com/topic/682-bottlecaps-bot-information/
LBW,Lebowskis,https://bitcointalk.org/index.php?topic=260311.0
HBN,HoboNickels,https://bitcointalk.org/index.php?topic=261550.0
CMC,Cosmoscoin,https://bitcointalk.org/index.php?topic=245938.0
PYC,Paycoin,https://bitcointalk.org/index.php?topic=268941.0
CDC,Cloudcoin,https://bitcointalk.org/index.php?topic=256120.0
GLX,Galaxycoin,https://bitcointalk.org/index.php?topic=252127.0
NEC,Neocoin,https://bitcointalk.org/index.php?topic=313506.0
TAG,Tagcoin,https://bitcointalk.org/index.php?topic=317408.0
LK7,Lucky7Coin,https://bitcointalk.org/index.php?topic=295157.0
SAV,Savingcoin,https://bitcointalk.org/index.php?topic=285621.0
PPL,Peoplecoin,https://bitcointalk.org/index.php?topic=295980.0
SHT,Shitcoin,https://bitcointalk.org/index.php?topic=307419.0
CIN,Cinnamoncoin,https://bitcointalk.org/index.php?topic=299221.0
BOC,Bountycoin,https://bitcointalk.org/index.php?topic=271729.0
TEK,Tekcoin,https://bitcointalk.org/index.php?topic=289490.0
NIG,Nigeriacoin,https://bitcointalk.org/index.php?topic=291233.0
GRA,Graincoin,https://bitcointalk.org/index.php?topic=361503.40.0
UFC,FederationCredits,https://bitcointalk.org/index.php?topic=280114.0
XMAS,Xmascoin,https://bitcointalk.org/index.php?topic=390020.0
MINT,Mintcoin,https://bitcointalk.org/index.php?topic=450381.0
BLK,Blackcoin,https://bitcointalk.org/index.php?topic=469640.0
ZEIT,Zeitcoin,https://bitcointalk.org/index.php?topic=487814.0
QBT,Qubits,https://bitcointalk.org/index.php?topic=345328.0
FLT,Fluttercoin,https://bitcointalk.org/index.php?topic=509499.0
BTE,Bytecoin,https://bitcointalk.org/index.php?topic=169559.0
XPM,Primecoin,https://bitcointalk.org/index.php?topic=251850.0
DTC,Datacoin,https://bitcointalk.org/index.php?topic=325735.0
CDN,CDNcoin,https://bitcointalk.org/index.php?topic=393190.0
FTW,pNUT,https://bitcointalk.org/index.php?topic=435232.0
MMC,Memorycoin,https://bitcointalk.org/index.php?topic=267522.0
ZET,Zetacoin,https://bitcointalk.org/index.php?topic=267545.0
TEA,Teacoin,https://bitcointalk.org/index.php?topic=434432.0
MYR,Myriadcoin,https://bitcointalk.org/index.php?topic=483515.0
CHC,Chaincoin,https://bitcointalk.org/index.php?topic=422149.0
SIC,Sifcoin,https://bitcointalk.org/index.php?topic=240894.0
QRK,Quark,https://bitcointalk.org/index.php?topic=260031.0
OBC,Obamacoin,https://bitcointalk.org/index.php?topic=281373.0
RVD,RVDcoin,https://bitcointalk.org/index.php?topic=357196.0
FZ,Frozencoin,https://bitcointalk.org/index.php?topic=366762.0
ATO,Atomcoin,https://bitcointalk.org/index.php?topic=371775.0
MOL,Molecule,https://bitcointalk.org/index.php?topic=371576.0
SEC,Secondcoin,https://bitcointalk.org/index.php?topic=381587.0
DARK,Darkcoin,https://bitcointalk.org/index.php?topic=1002259.0
CC,Cybercoin,https://bitcointalk.org/index.php?topic=1006415.0
Sync,Sync,https://bitcointalk.org/index.php?topic=607919.0
RTC,RIGHTCOIN,https://bitcointalk.org/index.php?topic=607076.0
MLGB,Malegebe,https://bitcointalk.org/index.php?topic=611614.0
ACC,Antarcticcoin,https://bitcointalk.org/index.php?topic=610049.0
KRYP,Kryptonite,https://bitcointalk.org/index.php?topic=606682.0
GRN,GraniteCoin,https://bitcointalk.org/index.php?topic=621544.0
PURE,PureCoin,https://bitcointalk.org/index.php?topic=627749.0
NAC,Napalcoin,https://bitcointalk.org/index.php?topic=623314.0
HPC,HAPPYCOIN,https://bitcointalk.org/index.php?topic=616114.0
suc,StarbucksCoin,https://bitcointalk.org/index.php?topic=625364.0
NL,Nanolite,https://bitcointalk.org/index.php?topic=626717.0
LTCX,LiteCoinX,https://bitcointalk.org/index.php?topic=624378.0
Iaura,Iaurab Coin,https://bitcointalk.org/index.php?topic=623193.0
BS,BitSlap,https://bitcointalk.org/index.php?topic=622985.0
Voot,VootCoin,https://bitcointalk.org/index.php?topic=639371.0
LIMX,LimeCoinX,https://bitcointalk.org/index.php?topic=637366.0
GRE,GoldReserve,https://bitcointalk.org/index.php?topic=641064.0
WCC,WorldCupCoin ,https://bitcointalk.org/index.php?topic=643166.0
MIN,MineralsCoin,https://bitcointalk.org/index.php?topic=641057.0
TRS,Triskelecoin,https://bitcointalk.org/index.php?topic=640056.0
KiB,Kibweecoin,https://bitcointalk.org/index.php?topic=642933.0
LIT,Lightcoin,https://bitcointalk.org/index.php?topic=649890.0
FRAC,Fractalcoin,https://bitcointalk.org/index.php?topic=650173.0
WVS,WaveCoin,https://bitcointalk.org/index.php?topic=653969.0
gue,Guerillacoin,https://bitcointalk.org/index.php?topic=656167.0
NeWO,NeWOcoin,https://bitcointalk.org/index.php?topic=650295.0
GOD,Godcoin,https://bitcointalk.org/index.php?topic=649099.0
HODOR,HODORCOIN,https://bitcointalk.org/index.php?topic=665818.0
SPCC,Sportcoin,https://bitcointalk.org/index.php?topic=659470.0
BULBA,BulbaCoin,https://cryptocointalk.com/topic/12900-bulbacoin-bulb-information/?hl=bulb
TRUST,TRUSTplus,https://bitcointalk.org/index.php?topic=659848.0
PP,PeerPay,https://bitcointalk.org/index.php?topic=661506.0
CSO,CSCoin,https://bitcointalk.org/index.php?topic=664262.0
MHYC,MachineryCoin,https://bitcointalk.org/index.php?topic=630150.0
LOL,LeagueCoin,https://bitcointalk.org/index.php?topic=622801.0
