symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
LSD,Lightspeed,7.18e-05,4.50587e-06,15.934769534,1.79410294853,1.29532744001,4.1937173366,1.2844939398,1.79231065829,1.0280019773,79130,1,False,False,False,True,False,False,False,2014-09-13,2014-09-13,2014-09-05,lightspeedLS,1,45,1,1,11,11,0,0.05454545,0.001346914,0.001348318,0.0001071253,1.549667e-05,0.0001071311,1.549667e-05,0.0,4.0,2.249478e-06,2.040192e-06,8.42596e-06,8.229609e-06,0.0
HUC,HunterCoin,0.00155347,4.01728e-06,386.696969094,386.696969094,198.712914094,14.1042877558,17.4845314163,1.95936406842,2.28601991062,469247,2,False,False,True,True,False,False,False,2014-02-14,2014-02-14,2013-09-25,snailbrain,1,352,15,811,196,157,39,0.05428493,0.009204118,0.009290523,0.0007311106,9.026421e-05,0.0007314821,9.026647e-05,80400.05,3.0,0.0001881437,0.0001620102,0.0004569291,0.0004122827,0.0
KDC,KlondikeCoin,0.000131729,4.8837e-07,269.731965518,269.731965518,96.8595588235,13.8222302039,13.8222302039,2.71477907198,2.71477907198,410989,2,False,False,False,True,False,True,False,2014-02-02,2014-02-02,2014-01-10,KlondikeCoin,1,144,11,1,19,19,0,0.02339181,0.003606039,0.003617037,0.0003602774,3.545094e-05,0.0003603387,3.545094e-05,0.0,4.0,9.506022e-06,7.738048e-06,3.254849e-05,2.891941e-05,0.0
TTC,TittieCoin,1.79935e-07,3.5111e-09,51.2474723021,6.08159719875,4.498375,3.38292553558,3.20520213379,2.30744469039,2.17260324489,35189,1,False,False,False,True,False,False,False,2014-11-08,2014-11-08,2014-01-30,vertoe,1,210,12,2,5,1,4,0.0,0.003044616,0.003054321,0.0003051752,3.927932e-05,0.0003052443,3.927974e-05,6.5,5.0,1.629173e-06,1.475315e-06,6.222615e-06,6.112676e-06,0.0
GRT,Grantcoin,1.59e-06,4.99765e-07,3.18149530279,1.45871559633,1.05940673223,1.92353966139,1.20264394798,1.93452546061,1.16725983591,5121,1,False,False,False,False,False,False,True,2015-07-27,2015-07-27,2015-05-04,The Grantcoin Foundation,1,42,1,1,5,5,0,0.0,0.001111278,0.001112155,8.771231e-05,1.353894e-05,8.771723e-05,1.353894e-05,0.0,4.0,6.505448e-06,5.46733e-06,1.206181e-05,1.1154e-05,0.0
GRS,GroestlCoin,1.1489e-05,1.65181e-07,69.5540043952,69.5540043952,2.2978,5.2912121958,5.33574715748,1.81666947721,1.8532700991,308179,2,False,False,True,False,False,False,False,2014-04-11,2014-04-11,2014-03-23,gruve_p,1,24,1,1,31,31,0,0.0172043,0.001801246,0.001803616,0.000186376,2.157637e-05,0.0001863922,2.157637e-05,0.0,4.0,1.000017e-05,8.564938e-06,3.354398e-05,3.118297e-05,0.0
SOLE,Solecoin,2.99927e-05,1.59791e-06,18.7699557547,18.7699557547,4.1085890411,4.69608027469,5.15950325416,2.12176746634,3.02726692538,37778,1,False,False,False,True,False,False,False,2014-08-21,2014-08-21,2014-08-09,solecoin,1,50,1,1,15,15,0,0.02857143,0.001409973,0.00141161,0.000112098,1.603335e-05,0.0001121045,1.603335e-05,0.0,4.0,5.177275e-06,4.634485e-06,1.866719e-05,1.801691e-05,1.0
FTC,Feathercoin,0.00475216,9.16053e-06,518.764743961,518.764743961,291.812097022,13.5350218636,13.5350218636,13.8523999181,13.8523999181,20588112,11,False,False,False,True,False,True,True,2013-05-03,2013-05-03,2013-04-22,thep33t,1,141,1,5,4,1,3,0.6666667,0.01743347,0.01778015,0.0001082603,0.0001705638,0.0001082603,0.0001705762,0.0,inf,6.326472e-06,5.634986e-06,2.390091e-05,2.318041e-05,0.0
GRE,Greencoin,2.90152e-07,9.9847e-09,29.0596612818,29.0596612818,7.2538,4.45248929159,4.61809751311,2.54380996828,2.68918384604,43190,1,False,False,False,False,False,False,False,2014-06-23,2014-06-23,2014-06-03,ncsupanda,1,104,5,104,14,7,7,0.02197802,0.001559248,0.001561465,0.0001300268,2.329669e-05,0.000130039,2.329679e-05,125004.2,4.0,2.406909e-06,2.099331e-06,8.386921e-06,8.028088e-06,0.0
GRC,GridCoin,1.44538e-05,2.45989e-06,5.87579119392,1.0,1.0,3.89171737413,1.0,3.47671289512,1.0,39986,3,False,False,True,False,False,False,True,2015-02-28,2015-02-28,2013-10-30,prophetx,1,351,7,175,30,2,28,0.1126437,0.009105702,0.009179146,0.0007069303,8.714128e-05,0.0007074686,8.714324e-05,10.16667,4.0,4.810038e-06,4.259486e-06,1.597261e-05,1.522673e-05,0.0
