symbol,name,url
PLS,PLAY,https://bitcointalk.org/index.php?topic=904687.0
SNRG,Synergy,https://bitcointalk.org/index.php?topic=1070124.0
UFO,UFO Coin,https://bitcointalk.org/index.php?topic=399937.0
BILS,BilShares,https://bitcointalk.org/index.php?topic=729068.0
NMC,Namecoin,https://bitcointalk.org/?topic=6017.0
MCN,MonetaVerde,https://bitcointalk.org/index.php?topic=653141.0
MNTA,Moneta,https://bitcointalk.org/index.php?topic=737548.0
RUBIT,RubleBit,https://bitcointalk.org/index.php?topic=1243299.0
DIG,Digit,https://bitcointalk.org/index.php?topic=597634.0
HYP,HyperStake,https://bitcointalk.org/index.php?topic=678849.0
ARCH,ARCHcoin,https://bitcointalk.org/index.php?topic=754055.0
AXIOM,Axiom,https://bitcointalk.org/index.php?topic=1135151.0
AIB,AIB,https://bitcointalk.org/index.php?topic=1020912.0
URC,Unrealcoin,https://bitcointalk.org/index.php?topic=1000669.0
GAP,Gapcoin,https://bitcointalk.org/index.php?topic=647681.0
NXTcoinsco,Tradebots,https://bitcointalk.org/index.php?topic=762346.0
DGCS,Digital Credits,https://bitcointalk.org/index.php?topic=1234336.0
NSR,NuShares,https://bitcointalk.org/index.php?topic=794059.0
G3N,Genstake,https://bitcointalk.org/index.php?topic=1205536.0
UTC,UltraCoin,https://bitcointalk.org/index.php?topic=413978.0
GOOD,GoodCoin,https://bitcointalk.org/index.php?topic=578963.0
MTR,MasterTraderCoin,https://bitcointalk.org/index.php?topic=954240.0
CESC,CryptoEscudo,https://bitcointalk.org/index.php?topic=524124.0
XVI,Vibranium,https://bitcointalk.org/index.php?topic=1084038.0
XCASH,XCash,https://bitcointalk.org/index.php?topic=765360.0
CNMT,Coinomat,https://bitcointalk.org/index.php?topic=732392.0
PINK,PinkCoin,https://bitcointalk.org/index.php?topic=591666.0
MAPC,MapCoin,https://bitcointalk.org/index.php?topic=1158633.0
SDP,SydPak,https://bitcointalk.org/index.php?topic=1148686.0
NXTTY,Nxttycoin,https://bitcointalk.org/index.php?topic=735878.0
CV2,Colossuscoin V2,https://bitcointalk.org/index.php?topic=941433.0
ARB,ARbit,https://bitcointalk.org/index.php?topic=1054576.0
EBS,EBOLAShares,https://bitcointalk.org/index.php?topic=853242.0
ARI,Aricoin,https://bitcointalk.org/index.php?topic=453085.0
DRZ,Droidz,https://bitcointalk.org/index.php?topic=1024845.0
TIX,Tickets,https://bitcointalk.org/index.php?topic=297666.0
PARA,ParanoiaCoin,https://bitcointalk.org/index.php?topic=1152948.0
CANN,CannabisCoin,https://bitcointalk.org/index.php?topic=643774.0
DRS,Denarius,https://bitcointalk.org/index.php?topic=591323.0
BOT,Botcoin,https://bitcointalk.org/index.php?topic=1167349.0
SOON,SoonCoin,https://bitcointalk.org/index.php?topic=665063.0
TRBO,TurboStake,https://bitcointalk.org/index.php?topic=1203357.0
NAV,Navajo,https://bitcointalk.org/index.php?topic=679791.0
BOB,Dobbscoin,https://bitcointalk.org/index.php?topic=408969.0
BOD,Bloodcoin,https://bitcointalk.org/index.php?topic=1091421.0
SHLD,ShieldCoin,https://bitcointalk.org/index.php?topic=681570.0
SHELL,ShellPay,https://bitcointalk.org/index.php?topic=1054714.0
APEX,ApexCoin,https://bitcointalk.org/index.php?topic=686403.0
GIVE,GiveCoin,https://bitcointalk.org/index.php?topic=741714.0
UIS,Unitus,https://bitcointalk.org/index.php?topic=901069.0
LYB,Lyrabar,https://bitcointalk.org/index.php?topic=939208.0
LTD,LimitedCoin,https://bitcointalk.org/index.php?topic=1177493.0
IOC,I/O Coin,https://bitcointalk.org/index.php?topic=695855.0
CHIP,ChipCoin,https://bitcointalk.org/index.php?topic=1134886.0
BOLI,Bolivarcoin,https://bitcointalk.org/index.php?topic=1153330.0
XAU,Xaurum,https://bitcointalk.org/index.php?topic=970586.0
NXE,NXE,https://bitcointalk.org/index.php?topic=977489.0
XAI,Sapience AIFX,https://bitcointalk.org/index.php?topic=864895.0
P7C,P7Coin,https://bitcointalk.org/index.php?topic=1057120.0
