coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
DETH,2015-08-10,2015-08-09,2015-08-10,DarkEther,1,5,1,1
KDC,2014-02-02,2014-01-09,2014-02-02,KlondikeCoin,1,144,11,24
VRC,2014-05-16,2014-05-09,2014-05-16,effectsToCause,1,76,1,7
QORA,2014-05-26,2014-03-19,2014-05-26,qora,1,74,1,68
ZS,2014-05-02,2014-04-25,2014-05-02,CryptoGir,1,23,1,49
SRC,2013-09-28,2013-08-09,2013-09-28,baritus,1,590,38,139
FAIR,2014-03-22,2012-11-01,2014-03-22,deepceleron,1,359,7,1001
DIME,2014-01-06,2013-12-23,2014-01-06,dimecoin,1,155,20,14
XMG,2014-09-23,2014-08-12,2014-09-23,joelao95,1,245,3,260
HEX,2014-03-15,2014-02-22,2014-03-15,Heisenbergprime,1,8,1,21
CF,2015-04-21,2015-04-17,2015-04-21,cfdev,1,9,1,4
COMM,2014-04-15,2014-03-25,2014-04-15,communitycoin,1,128,3,21
