symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
RBY,Rubycoin,2014-03-20,2014-02-11,2014-03-20,rby,1,7,1,42
DOPE,DopeCoin,2014-02-22,2014-01-21,2014-02-22,dopey,1,277,12,67
ARG,Argentum,2013-07-04,2013-06-10,2013-07-04,eddyfitz,1,201,2,58
LSD,Lightspeed,2014-09-13,2014-09-04,2014-09-13,lightspeedLS,1,45,1,9
SLR,SolarCoin,2014-03-29,2014-01-23,2014-03-29,ddirt,1,29,1,79
SLG,Sterlingcoin,2014-09-23,2014-08-02,2014-09-23,Sterlingcoin,1,297,1,52
MCN,MonetaVerde,2014-08-25,2014-06-19,2014-08-25,cryptomidnight,1,105,3,71
NRB,Noirbits,2013-07-04,2013-12-02,2013-07-04,educatedwarrior,1,20,0,40
QB,Quarkbar,2014-05-26,2014-02-26,2014-05-26,QuarkBar,1,26,1,89
NRS,NoirShares,2014-04-20,2014-02-22,2014-04-20,r3wt,1,2817,87,343
XGR,GoldReserve,2014-06-28,2014-06-05,2014-06-28,Mesterlovesz74,1,177,2,158
$$$,Money,2015-11-12,2014-01-10,2015-11-12,ltcifc,1,202,8,678
AXR,Axron,2014-08-27,2014-08-14,2014-08-27,Project Axron,1,118,1,13
EXE,Execoin,2014-03-10,2014-04-02,2014-03-10,TrollboxChamp,1,206,4,58
EXC,Extremecoin,2014-01-16,2013-08-17,2014-01-16,CaptChadd,1,883,40,560
MUSE,MUSE,2015-05-07,2015-06-16,2015-05-07,bitcoinjesus2.0,1,12,9,108
SWARM,Swarm,2014-09-16,2010-08-07,2014-09-16,Anonymous,1,2239,220,1708
HBN,HoboNickels,2013-12-20,2013-07-24,2013-12-20,thundertoe,1,218,35,927
WS,Woodshares,2015-07-02,2015-04-12,2015-07-02,KrLos,1,227,7,866
EXP,Expanse,2015-09-15,2015-08-10,2015-09-15,CryptoClub,1,713,3,556
LQD,LIQUID,2015-02-06,2015-02-07,2015-02-06,Geenstijl,1,214,10,432
IBITS,iBits,2015-07-27,2015-07-13,2015-07-27,iBITS,1,1,1,14
BUK,CryptoBuck,2014-10-04,2013-08-31,2014-10-04,CryptoBuck,1,114,6,411
VNL,Vanillacoin,2015-03-06,2014-12-12,2015-03-06,john-connor,1,76,4,84
RIN,Ringo,2014-08-02,2014-05-23,2014-08-02,homhomhom,1,91,1,147
CANN,CannabisCoin,2014-08-02,2014-05-06,2014-08-02,CannabisCoinDev,1,189,13,121
CLR,Copperlark,2013-11-03,2013-07-03,2013-11-03,icreator,1,37,1,149
BITUSD,bitUSD,2014-09-23,2014-08-22,2014-09-23,ChuckOne,1,641,16,243
RIC,Riecoin,2014-02-27,2013-09-05,2014-02-27,gatra,1,115,5,243
FRAC,Fractalcoin,2014-06-15,2014-06-12,2014-06-15,Fractalcoin,1,1,1,3
HAM,HamRadioCoin,2014-10-26,2014-11-13,2014-10-26,hamhrc,1,43,1,115
BOT,Botcoin,2015-09-08,2015-08-31,2015-09-08,Walter Botcoin,1,9,1,8
KNC,KhanCoin,2015-09-28,2015-08-22,2015-09-28,k0er,1,19,1,189
DASH,Dash,2014-02-14,2014-01-18,2014-02-14,eduffield,1,157,9,253
TRMB,TRMB,2015-05-25,2015-06-30,2015-05-25,godda04,1,186,0,314
THC,HempCoin,2014-06-28,2014-03-08,2014-06-28,HempCoin,1,64,1,112
PHO,Photon,2014-05-23,2014-02-21,2014-05-23,photon_coin,1,6,1,91
BURST,Burst,2014-08-30,2011-04-30,2014-08-30,stakhanov,1,134,17,1348
ZEIT,Zeitcoin,2014-03-20,2014-02-14,2014-03-20,ZEITCOIN,1,182,2,34
SWIFT,BitSwift,2014-10-05,2014-09-29,2014-10-05,BitSwift,1,46,2,6
SYS,SysCoin,2014-08-20,2014-09-13,2014-08-20,tobeaj2mer01,1,152,2,114
HIRO,Hirocoin,2014-03-26,2014-04-13,2014-03-26,dupee419,1,229,3,211
TRBO,TurboStake,2015-10-30,2015-10-08,2015-10-30,CryptoWiz420,1,56,2,145
LXC,Librexcoin,2014-08-05,2014-07-21,2014-08-05,Librexcoindev,1,55,1,15
MZC,MazaCoin,2014-02-27,2014-02-22,2014-02-27,dbbit,1,64,5,109
NAV,Navajo,2014-06-12,2014-06-25,2014-06-12,SUM2dev,1,0,0,-11
SPEC,SPEC,2015-07-27,2013-04-21,2015-07-27,elliotp,1,3,1,827
INDEX,CoinoIndex,2015-06-18,2015-07-06,2015-06-18,sasha35625,1,36,2,220
DMD,Diamond,2013-12-19,2013-07-13,2013-12-19,JohnLuc,1,50,1,165
CRW,CrownCoin,2014-11-08,2014-10-07,2014-11-08,jeliman,1,33,3,314
EMC,EmerCoin,2014-08-23,2013-12-08,2014-08-23,Fixx,1,76,4,476
BELA,BellaCoin,2014-03-20,2014-01-29,2014-03-20,twoturtles,1,28,2,50
SYNC,Sync,2014-05-21,2011-05-03,2014-05-21,epii,1,112,9,1154
DRZ,Droidz,2015-04-27,2015-04-14,2015-04-27,DRZ,1,28,1,13
CRC,CraftCoin,2013-07-07,2013-07-05,2013-07-07,Blindfolded,1,66,3,347
