coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
ZED,2014-03-06,2011-05-13,Cusipzzz,1,84,0,101,27,0,27,0.2279202,0.2244562,0.2803863,0.0008136697,0.001427382,0.0008136697,0.001428037,0.0,inf,7.340977e-05,0.0002174267
HVC,2014-03-12,2013-12-31,1gh,1,29,1,1,4,3,1,0.0,0.004048666,0.004064003,0.0004231223,5.455144e-05,0.0004232531,5.455215e-05,7441.5,5,3.917315e-06,1.532544e-05
VMC,2014-05-06,2014-04-16,somogyipeti,1,269,2,1,1,1,0,0.0,0.001701607,0.001704353,0.0001675931,2.025193e-05,0.0001676096,2.025193e-05,0.0,4,1.396048e-06,5.372442e-06
ZET,2013-09-10,2013-01-02,xorxor,1,442,10,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
VTA,2014-08-09,2014-07-03,misocialnetwork,1,26,1,55,27,25,2,0.005698006,0.001478741,0.00148056,0.0001180935,2.215048e-05,0.0001181022,2.215056e-05,56348.92,4,5.661466e-06,2.274182e-05
DP,2014-10-04,2014-09-21,7vpo,1,76,2,219,18,6,12,0.04575163,0.001320455,0.001322212,0.0001051423,2.004746e-05,0.0001051494,2.004756e-05,9022.71,4,9.882693e-07,3.874083e-06
XJO,2013-12-06,2013-01-02,xorxor,1,469,12,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
POT,2014-02-10,2013-04-05,cbuchner1,1,267,2,8,8,8,0,0.03571429,0.02258907,0.02326976,0.001263621,0.0001238697,0.001265382,0.0001238697,0.0,4,2.352602e-05,7.970088e-05
POP,2014-04-23,2013-05-27,maxpower,1,280,2,21,18,2,16,0.254902,0.0130031,0.01311813,0.0009184464,0.0001235373,0.0009192522,0.0001235412,1.45,4,5.608948e-06,2.082429e-05
CYC,2014-07-05,2014-04-10,coins101,1,318,11,132,125,39,86,0.05651718,0.001733838,0.001736268,0.0001704397,2.733401e-05,0.0001704569,2.733413e-05,75020.49,4,2.635877e-05,6.656275e-05
RPC,2014-01-06,2013-08-29,Tommo_Aus,1,119,2,27,7,1,6,0.3809524,0.009231618,0.009310818,6.276676e-05,9.388085e-05,6.276676e-05,9.388334e-05,47.83333,inf,3.535106e-06,1.468258e-05
TIPS,2013-12-31,2013-05-27,maxpower,1,226,2,21,18,2,16,0.254902,0.0130031,0.01311813,0.0009184464,0.0001235373,0.0009192522,0.0001235412,1.45,4,5.608948e-06,2.082429e-05
RBY,2014-03-20,2013-08-29,Tommo_Aus,1,192,2,27,7,1,6,0.3809524,0.009231618,0.009310818,6.276676e-05,9.388085e-05,6.276676e-05,9.388334e-05,47.83333,inf,3.535106e-06,1.468258e-05
DOPE,2014-02-22,2013-05-27,maxpower,1,257,2,21,18,2,16,0.254902,0.0130031,0.01311813,0.0009184464,0.0001235373,0.0009192522,0.0001235412,1.45,4,5.608948e-06,2.082429e-05
