Coin,Coin-href,Name,hashing_algorithm,genesis_date,market_capitalization,hashrate,block_time,available/total_supply,repo_stars/forks/watches,bing_results,alexa_ranking
"ArtByte","https://www.coingecko.com/en/coins/artbyte","ArtByte","Scrypt","May  1, 2014 (over 1 year)","$48,226.15","N/A","2.0 Minute","583 Million
                      /
                      1 Billion","","",""
"Mincoin","https://www.coingecko.com/en/coins/mincoin","Mincoin","Scrypt","April  3, 2013 (over 2 years)","$2,827.83","96.5 MH/s","1.0 Minute","1.72 Million
                      /
                      10 Million","","",""
"Coinomat","https://www.coingecko.com/en/coins/coinomat","Coinomat","null","July 23, 2014 (over 1 year)","$70,852.33","N/A","null","3 Million
                      /
                      3 Million","","",""
"MapCoin","https://www.coingecko.com/en/coins/mapcoin","MapCoin","Proof of Stake","September  6, 2015 (3 months)","$4,994.79","N/A","null","3 Million
                      /
                      3 Million","","",""
"Ripple","https://www.coingecko.com/en/coins/ripple","Ripple","null","null","$140,085,886.60","N/A","null","33.5 Billion
                      /
                      100 Billion","","",""
"Worldcoin","https://www.coingecko.com/en/coins/worldcoin","Worldcoin","Scrypt","May 14, 2013 (over 2 years)","$596,211.90","9.43 GH/s","0.5 Minute","93.7 Million
                      /
                      265 Million","","",""
"X-Coin","https://www.coingecko.com/en/coins/xcoin","X-Coin","SHA-256","February 27, 2015 (9 months)","$2,624.92","N/A","1.0 Minute","null","","",""
"FuelCoin","https://www.coingecko.com/en/coins/fuelcoin","FuelCoin","X11","null","$575,709.83","N/A","null","100 Million
                      /
                      336 Million","","",""
"Librexcoin","https://www.coingecko.com/en/coins/librexcoin","Librexcoin","X11","July 30, 2014 (over 1 year)","$46,645.01","N/A","1.0 Minute","9.78 Million
                      /
                      10 Million","","",""
"Auroracoin","https://www.coingecko.com/en/coins/auroracoin","Auroracoin","Scrypt","January 24, 2014 (almost 2 years)","$291,724.59","4.5 GH/s","5.0 Minute","7.49 Million
                      /
                      21 Million","","",""
"Curecoin","https://www.coingecko.com/en/coins/curecoin","Curecoin","null","null","$284,590.30","N/A","null","null","","",""
"PhilosopherStone","https://www.coingecko.com/en/coins/philosopherstone","PhilosopherStone","Scrypt","July 28, 2013 (over 2 years)","$14,190.17","N/A","null","2.43 Million
                      /
                      8.89 Million","","",""
"Gulden","https://www.coingecko.com/en/coins/gulden","Gulden","Scrypt","March 29, 2014 (over 1 year)","$426,314.82","1.17 GH/s","2.5 Minute","285 Million
                      /
                      1.68 Billion","","",""
"Bitmark","https://www.coingecko.com/en/coins/bitmark","Bitmark","Scrypt","July 14, 2014 (over 1 year)","$32,191.27","298 MH/s","2.0 Minute","1.03 Million
                      /
                      27.6 Million","","",""
