coin, max_price, min_price, severity_to_min_price, severity_to_min_price_after_max, severity_to_last, severity_to_average, severity_to_average_after_max, severity_to_average_volume_weighted, severity_to_average_after_max_volume_weighted, total_volume, market_num, BTC-E, Kraken, Poloniex, Cryptsy, BTC38, BTER, Bittrex
TEK, 83.4561539957, 0.00085843, 1.0286e-05, 83.4561539957, 34.5312657133, 6.49205482708, 8.5774638772, 3.03420801798, 4.34190710889, 272807, 2, False, False, False, True, False, False, False
FIMK, 23.3286445438, 4.90907e-06, 2.10431e-07, 23.3286445438, 5.77515905284, 2.33324282523, 2.86100636685, 1.32005688774, 1.20289602573, 4405585, 2, False, False, False, False, False, False, False
THC, 44.2751, 4.42751e-06, 1e-07, 44.2751, 44.2751, 8.08639686485, 11.5059421203, 2.51258363829, 2.26129590171, 87670, 1, False, False, False, False, False, False, True
BYC, 10.2403920529, 0.00185347, 0.000180996, 10.2403920529, 7.29121263857, 4.15176424663, 4.19032068109, 3.55415220153, 3.58468120694, 665009, 3, False, False, False, True, False, False, True
BTCD, 64.5371690959, 0.014842, 0.000229976, 4.76441168729, 3.10353408095, 2.7449417355, 2.66325682377, 2.21523901175, 1.5917630577, 8482231, 8, False, False, True, True, False, True, True
CINNI, 123.210909091, 0.000271064, 2.2e-06, 123.210909091, 106.299607843, 10.3935109148, 11.4660011398, 1.82091408955, 1.72153677535, 15548825, 1, False, False, False, True, False, False, False
UTIL, 63.0317857143, 0.000176489, 2.8e-06, 63.0317857143, 63.0317857143, 9.21995485593, 9.43442768692, 1.66189841362, 1.69402994731, 468392, 1, False, False, False, True, False, False, False
VIA, 34.3998163347, 0.000599348, 1.7423e-05, 34.3998163347, 34.3998163347, 4.36296430601, 4.77557982874, 1.93817585981, 1.76098219526, 6218159, 6, False, False, True, True, False, True, True
PHO, 34.6532871972, 1.00148e-08, 2.89e-10, 34.6532871972, 19.5869352631, 5.84189020352, 6.16962830965, 3.49578639449, 3.7164891971, 3263, 1, False, False, False, False, False, False, False
MEC, 87.6120100876, 0.00228592, 2.60914e-05, 87.6120100876, 37.7248760201, 11.4512300771, 10.1469624648, 5.18793007447, 5.18793007447, 13129053, 10, False, False, False, True, True, True, False
SDC, 9.8347187977, 0.000837623, 8.517e-05, 2.14634240089, 2.14634240089, 2.69525768848, 1.52390784658, 2.43392507863, 1.39384186563, 4736832, 4, False, False, True, True, False, False, True
ZEIT, 74.6627417998, 8.8774e-08, 1.189e-09, 5.90221264826, 5.90221264826, 5.44448006654, 1.71023784663, 1.60529101733, 1.07169490288, 683441, 7, False, False, False, True, False, False, False
MAX, 252.525591641, 0.00428743, 1.69782e-05, 252.525591641, 247.233819255, 30.3830212952, 33.2417485659, 1.97267649496, 2.45818775656, 35949025, 9, False, False, False, True, False, True, True
SFR, 17.2843461469, 3.51752e-05, 2.03509e-06, 17.2843461469, 16.2097695853, 3.85942583985, 4.59178352654, 1.65700276816, 1.60751748489, 851704, 1, False, False, False, True, False, False, False
MNE, 17.9013386193, 7.24281e-05, 4.04596e-06, 17.9013386193, 12.9105347594, 4.52332065255, 4.71988082653, 1.30505343314, 1.28663867787, 442241, 1, False, False, False, True, False, False, False
SYS, 5.14402549956, 4.79149e-06, 9.31467e-07, 5.14402549956, 3.56589268438, 2.07501048684, 2.08054930872, 1.53008600002, 1.59087437342, 1035351, 7, False, False, True, True, True, False, True
HIRO, 1949.18122243, 3.89347e-05, 1.99749e-08, 1949.18122243, 1297.82333333, 27.3372110514, 28.2002277696, 2.40292065109, 2.45561648536, 368906, 2, False, False, True, False, False, False, False
CCN, 39.921900423, 0.000159484, 3.9949e-06, 12.1193054447, 4.54659227943, 5.24918909134, 4.19335650567, 2.86429550325, 2.48167193052, 298326, 2, False, False, False, True, False, False, True
LXC, 16.9227259166, 0.000192848, 1.13958e-05, 15.8525618367, 15.5644334681, 3.89793379632, 4.37581838621, 2.62066415338, 3.10201113575, 2800605, 2, False, False, False, True, False, False, True
KEY, 151.46231721, 0.00234291, 1.54686e-05, 151.46231721, 86.8294364208, 15.6517398431, 19.0227075354, 1.95341073531, 1.93197825961, 3458654, 2, False, False, False, True, False, False, False
