symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
CBX,cryptogenic-bullion,Crypto Bullion,0.00557563,9.97514e-05,55.89525560543511,55.89525560543511,11.501029303167943,6.725647251038644,8.893006511242278,4.407139588768098,4.407139588768098,1118858,2,False,False,False,True,False,False,False,2013-08-04
HLC,hellascoin,HellasCoin,4.416e-05,4.1e-07,107.70731707317073,107.70731707317073,107.70731707317073,6.019981540177379,2.417218622137614,4.886639039599816,1.6933876618426484,33312,1,False,False,False,False,False,False,False,2014-11-16
OPAL,opal,Opal,5.59179e-05,1.88002e-06,29.743247412261574,5.271146177992704,5.271146177992704,2.6898481444575113,2.1574568667452985,1.8625628503444929,1.536217938492359,453092,3,False,False,True,True,False,False,True,2014-09-13
EKN,elektron,Elektron,8.5743e-05,1.80035e-06,47.62573943955341,47.62573943955341,44.197422680412366,5.9267796669216555,9.779649801458943,1.815739837970796,1.5206040144429678,301162,1,False,False,False,True,False,False,False,2015-04-11
DON,donationcoin,Donationcoin,1.00853e-06,1.02043e-08,98.83382495614593,98.83382495614593,7.757923076923077,12.397935436337036,13.987440914679429,3.680271188583284,4.619941188905776,1227,1,False,False,False,False,False,False,False,2014-06-15
SHADE,shadecoin,ShadeCoin,0.000270054,1.85564e-06,145.53146084369814,145.53146084369814,129.83365384615385,25.365359879797055,25.365359879797055,2.77708070111283,2.77708070111283,117257,1,False,False,False,True,False,False,False,2014-09-06
FJC,fujicoin,FujiCoin,2.5246e-07,1.00014e-08,25.242466054752338,9.615289399415756,6.347043443282383,4.805296328439814,4.012021125168035,2.4117161360876334,1.8971385077290308,530,4,False,False,False,False,False,False,False,2015-06-14
CRYPT,cryptcoin,CryptCoin,0.00200866,8.55909e-06,234.6814906724897,234.6814906724897,158.77354538340538,26.98172216066963,33.01078368367331,1.6443932436753186,1.4743833981992216,12869712,3,False,False,False,True,False,False,True,2014-05-26
GLC,globalcoin,GlobalCoin,4.37546e-05,3.10189e-07,141.05787116886802,141.05787116886802,72.92433333333334,14.87939683011748,16.5621755279693,3.2852536138113066,3.2852536138113066,791673,1,False,False,False,True,False,False,False,2013-08-04
GLD,goldcoin,GoldCoin,0.000136713,3.89132e-06,35.132808404346086,14.315497382198954,12.910119362393292,5.805699653178299,6.0643942880199075,4.586142366423825,4.586142366423825,503125,2,False,False,False,True,False,False,False,2013-06-14
XSEED,bitseeds,BitSeeds,6.20158e-05,5.09675e-06,12.16771472016481,12.16771472016481,7.751975,3.69026665337355,3.8448020254154542,1.2441427151586824,1.1600350518094784,40798,1,False,False,False,False,False,False,True,2015-04-21
POLY,polybit,Polybit,6.00064e-07,1e-08,60.006400000000006,60.006400000000006,60.006400000000006,4.235415519942386,4.235415519942386,1.6463560199755058,1.6463560199755058,4966,1,False,False,False,False,False,False,False,2015-06-26
CTM,continuumcoin,ContinuumCoin,1.08208e-08,2.453e-10,44.11251528740318,44.11251528740318,9.601419698314109,8.224319072894383,9.11327479481397,1.4677556635628222,1.6961030039049299,152596,1,False,False,False,True,False,False,False,2014-02-27
CTO,crypto,Crypto,9.96965e-06,6.99785e-08,142.46732925112715,39.89695259819517,15.337923076923078,6.202018738201858,7.618973562805017,4.449464588394463,5.0631109760056825,143,1,False,False,False,False,False,False,False,2015-05-18
SMC,smartcoin,SmartCoin,0.000271242,6.4011e-07,423.74279420724565,423.74279420724565,208.6476923076923,43.961925441247466,47.287546487226884,1.8315684378949906,1.827781106979287,391516,1,False,False,False,True,False,False,False,2014-02-06
RED,redcoin,RedCoin,2.1966e-05,3.4182e-07,64.26189222397753,64.26189222397753,18.078417171451143,5.463272059486073,6.468781452524698,2.1206400970625703,2.3701500931659685,811027,4,False,False,False,True,False,True,False,2014-01-24
CLAM,clams,Clams,0.00825929,0.000149651,55.19034286439784,2.0066643504627146,2.0066643504627146,2.041036889847177,1.3865678265107921,1.4919230456638297,1.3839717449792035,2152760,8,False,False,True,True,False,False,True,2014-08-25
FCT,factom,Factom,0.00114052,0.000459975,2.479526061198978,2.479526061198978,2.451365798404759,1.9943590091305126,2.0684770394207717,1.696750024240705,1.852693774402553,12116098,1,False,False,True,False,False,False,False,2015-10-05
XFC,forevercoin,Forevercoin,0.0507303,0.0287088,1.7670644541046647,1.6910100000000001,1.0747512282344567,1.2967986941750405,1.1079386229781198,1.305510736182626,1.1251861517011699,601962,2,False,False,False,False,False,False,False,2015-06-24
ZOOM,zoom,Zoom,0.00100031,5.06e-06,197.6897233201581,197.6897233201581,197.6897233201581,4.902456600663758,4.902456600663758,1.8442267509332504,1.8442267509332504,3930,1,False,False,False,False,False,False,False,2015-07-16
TAM,tamagucci,Tamagucci,4.50593e-05,8.1e-07,55.62876543209877,55.62876543209877,55.62876543209877,1.7569712080481183,1.8571016341182107,1.8770904695092139,1.9042240382729019,18344,1,False,False,False,False,False,False,False,2015-06-26
FCN,fantomcoin,Fantomcoin,0.000827176,5.81041e-06,142.36103820556554,142.36103820556554,91.90844444444444,20.881513395566078,23.92242815219166,2.122648838958027,2.0017068616566753,22334,1,False,False,False,False,False,False,False,2014-06-08
BSC,bowscoin,BowsCoin,1.80046e-06,8e-08,22.50575,22.50575,12.860428571428569,2.6956636655292536,3.138197740965163,2.6516971778641354,4.5211510548632985,3056,1,False,False,False,False,False,False,False,2015-07-13
ERM,ermis,Ermis,3.38956e-06,7.00123e-08,48.41377872173889,48.41377872173889,15.407090909090908,3.088069880918098,3.225061000183386,2.043614367190409,2.0399444428251647,4471,1,False,False,False,False,False,False,False,2014-12-25
FC2,fuelcoin,FuelCoin,0.000198009,9.996e-09,19808.823529411762,11.179685515060834,6.0076639744655544,3.7654179899573705,2.6932273354857768,1.831350546026789,1.790408659333156,1519508,3,False,False,False,True,False,False,True,2014-06-12
