coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
CHA,2014-05-20,2014-03-23,2014-05-20,magician,1,35,1,58
CHC,2015-07-16,2014-01-19,2015-07-16,Rolihlahla,1,44,1,571
MRY,2014-03-03,2014-01-15,2014-03-03,crike,1,511,6,99
JAY,2015-04-17,2011-09-04,2015-04-17,mizerydearia,1,416,61,1737
MMNXT,2014-10-22,2014-11-10,2014-10-22,sasha35625,1,0,0,-19
URO,2014-06-12,2014-01-27,2014-06-12,ubi4doges,1,57,1,136
MRS,2014-02-24,2014-01-27,2014-02-24,atleticofa,1,407,7,100
QBK,2014-08-17,2014-07-09,2014-08-17,ABC Dev Team,1,25,1,39
DIGS,2015-07-16,2015-07-03,2015-07-16,DIGGITSquad,1,1,1,13
MRC,2014-03-03,2014-01-03,2014-03-03,MCR,1,107,6,59
UTIL,2014-09-30,2014-09-26,2014-09-30,utilitycoin,1,9,1,4
VIA,2014-07-18,2014-06-10,2014-07-18,btcdrak,1,196,5,410
DBL,2013-07-04,2013-05-15,2013-07-04,shakezula,1,582,25,74
MMBTCD,2015-07-07,2015-09-03,2015-07-07,sasha35625,1,39,3,239
SFR,2014-06-15,2014-03-26,2014-06-15,CryptoSpecs,1,10,1,81
8BIT,2015-04-18,2011-06-11,2015-04-18,piecesofeight,1,6,3,1407
APC,2014-02-09,2013-11-18,2014-02-09,KunningLinguist,1,82,9,99
NIRO,2015-01-25,2014-06-19,2015-01-25,KryptoKash,1,84,2,220
PYC,2014-12-06,2013-01-01,2014-12-06,xorxor,1,481,12,704
GREXIT,2015-07-23,2014-02-16,2015-07-23,DNotes,1,151,4,522
KORE,2014-06-21,2014-06-15,2014-06-21,KoreCoin,1,135,1,6
FRDC,2015-09-21,2015-09-06,2015-09-21,placebo,1,6870,159,623
XLB,2014-05-12,2014-05-08,2014-05-12,Libertycoin,1,66,6,61
CAIx,2014-04-15,2014-03-13,2014-04-15,Caishen_Project,1,20,1,33
SWING,2015-09-28,2011-05-27,2015-09-28,Imnotadoctor,1,9,1,1585
NEU,2015-09-25,2015-04-15,2015-09-25,Sandrine89,1,33,2,234
SLING,2015-04-21,2013-11-29,2015-04-21,DGulari,1,88,15,520
PLNC,2014-04-15,2014-03-10,2014-04-15,WalutowyKrol,1,17,1,84
PKB,2015-05-18,2015-04-29,2015-05-18,ParkByte,1,43,2,19
PSEUD,2014-07-21,2014-07-03,2014-07-21,pseudocoin,1,74,3,18
CAID,2015-09-15,2014-11-19,2015-09-15,BitcoinNational,1,1003,14,1098
NLG,2014-04-08,2014-04-02,2014-04-08,guldencoin,1,30,1,6
TENNET,2015-08-10,2015-06-07,2015-08-10,DarkTron Team,1,141,2,64
GCC,2015-08-20,2015-06-25,2015-08-20,GCCTeam1,1,80,1,56
DOGED,2014-10-25,2014-10-09,2014-10-25,Dogedarkdev,1,46,2,16
WOP,2015-10-12,2015-10-07,2015-10-12,WorldPay,1,25,1,5
CSC,2013-07-24,2013-01-01,2013-07-24,xorxor,1,390,10,204
GCN,2014-11-16,2014-04-04,2014-11-16,Mr G,1,20,1,226
SHA,2014-06-25,2014-03-12,2014-06-25,SHACoin,1,57,2,105
LTD,2015-09-15,2015-09-11,2015-09-15,LimitedDev,1,13,1,8
SHADE,2014-09-06,2014-09-04,2014-09-06,iShade,1,18,1,2
RT2,2014-03-29,2014-03-15,2014-03-29,Rotocoin,1,101,2,14
MONETA,2015-10-24,2014-01-07,2015-10-24,Mogui,1,74,6,669
CAGE,2014-04-15,2014-01-01,2014-04-15,Nicolas_Cage,1,19,3,104
LEAF,2014-02-02,2013-12-03,2014-02-02,united-scrypt-coin,1,38,2,64
BTS,2014-07-20,2014-01-23,2014-07-20,Bit510,1,32,7,219
XCE,2015-06-10,2015-06-06,2015-06-10,Cerium,1,21,1,4
XCH,2014-10-04,2014-08-07,2014-10-04,btcdrak,1,406,9,488
DOGE,2013-12-15,2013-01-01,2013-12-15,xorxor,1,470,12,348
XCN,2014-08-02,2014-07-18,2014-08-02,Cryptonite XCN,1,3,1,15
BTX,2015-04-26,2015-04-27,2015-04-26,placebo,1,5507,153,475
MOON,2014-01-06,2011-09-28,2014-01-06,lightlord,1,277,34,840
BTE,2013-05-10,2013-01-01,2013-05-10,xorxor,1,307,8,129
BTG,2013-07-04,2013-01-01,2013-07-04,xorxor,1,390,10,184
MGW,2014-08-22,2013-05-05,2014-08-22,AlexMerced,1,118,19,488
BTC,2013-04-28,2010-02-05,2013-04-28,NewLibertyStandard,1,149,12,1195
BTB,2013-05-09,2013-01-01,2013-05-09,xorxor,1,307,8,128
BTM,2014-08-19,2014-06-21,2014-08-19,coinsolidation,1,569,37,65
XCASH,2014-09-11,2013-12-29,2014-09-11,musty97,1,57,5,266
JBS,2014-09-07,2014-09-01,2014-09-07,jyap,1,24,1,113
ISR,2014-04-08,2014-03-24,2014-04-08,IsraelCoin,1,34,3,15
SPHR,2015-05-02,2015-04-30,2015-05-02,ChronoSphereDev,1,9,1,2
MUE,2014-11-01,2014-08-24,2014-11-01,vfrGT65Nha,1,1,1,69
OCTO,2015-03-22,2013-05-12,2015-03-22,jubalix,1,1704,276,750
CURE,2014-05-26,2013-08-07,2014-05-26,cygnusxi,1,259,23,408
BAY,2014-11-16,2014-10-30,2014-11-16,BitBay Team,1,107,2,17
ISL,2015-09-28,2015-05-05,2015-09-28,isladev,1,55,2,146
DGB,2014-02-06,2014-01-10,2014-02-06,DigiByte,1,166,12,39
DGC,2013-06-09,2013-01-01,2013-06-09,xorxor,1,352,9,159
ECC,2014-03-20,2014-03-06,2014-03-20,hostmaster,1,963,44,110
CRT,2014-05-11,2014-04-03,2014-05-11,digitaldj,1,1,1,38
BITB,2015-02-18,2015-01-06,2015-02-18,nokat,1,36,2,43
ASC,2013-12-31,2013-01-01,2013-12-31,xorxor,1,480,12,364
BITZ,2015-03-08,2011-05-26,2015-03-08,bitz,1,6,1,1382
KUMA,2014-08-02,2014-04-26,2014-08-02,kumacoinproject,1,1,1,98
QTL,2014-07-12,2014-03-21,2014-07-12,ThePeePs,1,117,1,128
BITS,2014-04-23,2014-04-17,2014-04-23,Bitstar_coin,1,53,1,6
JKC,2013-06-14,2013-01-01,2013-06-14,xorxor,1,368,9,164
FRC,2013-05-02,2012-11-15,2013-05-02,dreamwatcher,1,364,7,280
VTC,2014-01-20,2013-03-07,2014-01-20,tacotime,1,1466,45,888
DUO,2015-10-24,2014-08-02,2015-10-24,Parallaxis,1,17,1,448
FRK,2013-06-09,2013-01-01,2013-06-09,xorxor,1,352,9,159
XC,2014-05-23,2014-05-29,2014-05-23,Teka,1,317,11,416
DUB,2015-06-30,2015-11-30,2015-06-30,lentzaj,1,38,0,112
SSD,2014-08-12,2014-08-24,2014-08-12,argakiig,1,153,7,233
EUC,2015-08-23,2013-12-30,2015-08-23,tyz,1,687,40,632
UNB,2014-05-23,2014-03-02,2014-05-23,madman5844,1,21,3,110
VTR,2014-12-24,2014-12-11,2014-12-24,vtorrent,1,73,1,13
CARB,2014-08-02,2014-02-14,2014-08-02,carboncoin,1,18,1,169
CLV,2015-05-13,2015-05-08,2015-05-13,clevercryptodev,1,14,1,5
BBR,2014-06-24,2014-04-20,2014-06-24,crypto_zoidberg,1,214,6,208
CLR,2013-11-03,2013-07-03,2013-11-03,icreator,1,37,1,149
UNO,2013-12-21,2013-10-17,2013-12-21,Blazr2,1,60,5,142
OMC,2014-05-11,2014-02-16,2014-05-11,vurezo,1,1,1,84
SCRT,2015-11-16,2015-08-25,2015-11-16,TeamSecret,1,105,1,83
ZED,2014-03-06,2014-01-17,2014-03-06,MUBBLE86,1,397,3,95
HVC,2014-03-12,2013-12-30,2014-03-12,1gh,1,29,1,72
CRAVE,2015-03-26,2013-03-10,2015-03-26,Kluge,1,698,15,1392
ZET,2013-09-10,2013-01-01,2013-09-10,xorxor,1,442,10,252
INFX,2015-09-15,2015-08-25,2015-09-15,Coryvmcs1,1,69,12,40
MAZE,2015-10-19,2015-09-24,2015-10-19,plastcom,1,100,1,62
BITCNY,2014-09-23,2014-08-25,2014-09-23,instacash,1,939,16,298
