coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
MEOW,2014-01-24,2013-12-21,2014-01-24,kr105,1,148,2,975
PRT,2014-01-22,2013-12-31,2014-01-22,moonmoon,1,44,6,22
CHA,2014-05-20,2014-03-23,2014-05-20,magician,1,35,1,58
CHC,2015-07-16,2014-01-19,2015-07-16,Rolihlahla,1,44,1,571
MRY,2014-03-03,2014-01-20,2014-03-03,bholzer,1,293,3,216
URC,2015-03-31,2015-03-23,2015-03-31,USER211,1,19,1,8
MMNXT,2014-10-22,2015-01-20,2014-10-22,Nxtblg,1,1078,14,235
URO,2014-06-12,2014-05-08,2014-06-12,true-asset,1,192,6,35
MRS,2014-02-24,2014-01-15,2014-02-24,Btcdealer5011,1,8,1,40
020,2015-09-15,2015-06-27,2015-09-15,020LondonCoin,1,64,1,85
QBK,2014-08-17,2014-07-09,2014-08-17,ABC Dev Team,1,25,1,39
MRC,2014-03-03,2014-01-03,2014-03-03,MCR,1,107,6,59
UTIL,2014-09-30,2014-09-26,2014-09-30,utilitycoin,1,9,1,4
VIA,2014-07-18,2011-12-13,2014-07-18,Yankee (BitInstant),1,915,49,1132
DBL,2013-07-04,2013-05-15,2013-07-04,blastbob,1,847,33,88
SFR,2014-06-15,2014-04-27,2014-06-15,saffroncoin,1,362,1,49
APC,2014-02-09,2013-05-31,2014-02-09,Charles999,1,276,34,269
NIRO,2015-01-25,2014-10-23,2015-01-25,Trujillo,1,58,5,383
PYC,2014-12-06,2013-08-06,2014-12-06,deppJ,1,24,2,556
GREXIT,2015-07-23,2015-07-17,2015-07-23,grexitcoin,1,2,1,6
XLM,2014-08-05,2014-08-01,2014-08-05,lordoliver,1,305,14,237
KORE,2014-06-21,2014-06-15,2014-06-21,KoreCoin,1,135,1,6
FRDC,2015-09-21,2014-01-02,2015-09-21,datguys,1,40,15,642
XLB,2014-05-12,2014-01-03,2014-05-12,wEEcoIn,1,12,1,132
COINO,2014-12-24,2014-01-17,2014-12-24,coino.org,1,220,4,341
SILK,2014-05-11,2014-02-12,2014-05-11,silkcoinproject,1,2,1,88
SLING,2015-04-21,2015-04-20,2015-04-21,DG.Slayer,1,3,1,1
PLNC,2014-04-15,2014-03-10,2014-04-15,WalutowyKrol,1,17,1,84
PKB,2015-05-18,2015-04-29,2015-05-18,ParkByte,1,43,2,19
CAID,2015-09-15,2015-09-05,2015-09-15,crunck,1,598,15,474
NLG,2014-04-08,2014-03-13,2014-04-08,edu91,1,9,2,27
TENNET,2015-08-10,2015-06-19,2015-08-10,TenneT,1,18,1,52
GCC,2015-08-20,2015-06-25,2015-08-20,GCCTeam1,1,80,1,56
DOGED,2014-10-25,2014-09-05,2014-10-25,DogecoinDark,1,20,1,50
CSC,2013-07-24,2013-05-27,2013-07-24,CartmanSPC,1,147,6,91
GCN,2014-11-16,2013-05-03,2014-11-16,farlack,1,301,8,766
SHA,2014-06-25,2013-08-30,2014-06-25,Patches OHulahan,1,7,1,300
GCR,2015-08-26,2015-08-19,2015-08-26,gcrgcr,1,1,1,7
