symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
XFC,Forevercoin,2015-06-24,2014-06-22,finerpay,https://bitcointalk.org/index.php?topic=661788.0,2014-06-22
DROP,Faucetcoin,2015-11-02,2014-01-26,aaron_m,https://bitcointalk.org/index.php?topic=433775.0,2014-01-26
ZOOM,Zoom,2015-07-16,2015-07-13,coinmaster222,https://bitcointalk.org/index.php?topic=1120639.0,2015-07-13
TAM,Tamagucci,2015-06-26,2015-06-21,bitspender,https://bitcointalk.org/index.php?topic=1096042.0,2015-06-21
XCR,Crypti,2014-08-07,2014-06-02,crypti,https://bitcointalk.org/index.php?topic=636676.0,2014-06-02
FCN,Fantomcoin,2014-06-08,2014-04-26,amphibian,https://bitcointalk.org/index.php?topic=585611.0,2014-04-26
BSC,BowsCoin,2015-07-13,2014-02-08,bsc,https://bitcointalk.org/index.php?topic=455254.0,2014-02-08
LTS,LiteStarCoin,2015-10-23,2014-02-09,qcbear,https://bitcointalk.org/index.php?topic=456191.0,2014-02-09
FC2,FuelCoin,2014-06-12,2013-05-14,Wolf Rainer,https://bitcointalk.org/index.php?topic=204583.0,2013-05-14
DFT,DraftCoin,2015-11-23,2015-11-19,simonsez,https://bitcointalk.org/index.php?topic=1255366.0,2015-11-19
LTC,Litecoin,2013-04-28,2011-10-09,coblee,https://bitcointalk.org/index.php?topic=47417.0,2011-10-09
LTB,LiteBar,2014-03-12,2014-02-12,Scooby903,https://bitcointalk.org/index.php?topic=461108.0,2014-02-12
UNITY,SuperNET,2014-09-30,2014-02-26,Elisha,https://bitcointalk.org/index.php?topic=489255.0,2014-02-26
AUR,Auroracoin,2014-02-27,2014-01-19,naplam,https://bitcointalk.org/index.php?topic=423488.0,2014-01-19
XTC,TileCoin,2014-10-25,2014-08-29,ASIC-8Tile,https://bitcointalk.org/index.php?topic=761852.0,2014-08-29
VEC,Vector,2015-09-04,2015-08-29,VectorDev,https://bitcointalk.org/index.php?topic=1165060.0,2015-08-29
FETISH,Fetish,2014-10-20,2014-09-19,altcoin.center,https://bitcointalk.org/index.php?topic=789338.0,2014-09-19
BTQ,BitQuark,2014-07-29,2014-02-15,BitQuark,https://bitcointalk.org/index.php?topic=468018.0,2014-02-15
BAY,BitBay,2014-11-16,2013-06-04,digitalindustry,https://bitcointalk.org/index.php?topic=225397.0,2013-06-04
ALN,Aliencoin,2014-03-15,2014-01-09,Aliencoin,https://bitcointalk.org/index.php?topic=407460.0,2014-01-09
ALF,AlphaCoin,2013-07-07,2013-06-11,ahmed_bodi,https://bitcointalk.org/index.php?topic=231527.0,2013-06-11
NTR,Neutrino,2014-06-12,2015-04-06,lemial,https://bitcointalk.org/index.php?topic=1014398.0,2015-04-06
SBC,StableCoin,2013-07-07,2013-06-07,artos,https://bitcointalk.org/index.php?topic=227766.0,2013-06-07
SC,Siacoin,2015-08-26,2013-05-08,rlh,https://bitcointalk.org/index.php?topic=198696.0,2013-05-08
ORB,Orbitcoin,2013-12-21,2013-09-12,torzsy,https://bitcointalk.org/index.php?topic=292818.0,2013-09-12
MMC,Memorycoin,2013-12-24,2013-08-03,FreeTrade,https://bitcointalk.org/index.php?topic=267522.0,2013-08-03
GLYPH,Glyph,2014-06-17,2014-06-08,GLYPH,https://bitcointalk.org/index.php?topic=644141.0,2014-06-08
I0C,I0Coin,2013-11-27,2013-06-03,Hazard,https://bitcointalk.org/index.php?topic=224744.0,2013-06-03
BAT,BatCoin,2014-03-03,2014-01-03,cosmofly,https://bitcointalk.org/index.php?topic=397562.0,2014-01-03
SSV,SSVCoin,2014-09-07,2014-06-22,SSVCoin,https://bitcointalk.org/index.php?topic=661043.0,2014-06-22
FUTC,FutCoin,2015-07-21,2015-02-19,FUTCOIN,https://bitcointalk.org/index.php?topic=960951.0,2015-02-19
TOR,TorCoin,2014-07-12,2013-12-24,hover,https://bitcointalk.org/index.php?topic=382947.0,2013-12-24
SOIL,SOILcoin,2015-11-12,2015-09-10,soil,https://bitcointalk.org/index.php?topic=1176709.0,2015-09-10
TOP,TopCoin,2014-02-17,2011-07-29,coblee,https://bitcointalk.org/index.php?topic=32771.0,2011-07-29
CAP,Bottlecaps,2013-07-04,2013-06-05,vinne81,https://bitcointalk.org/index.php?topic=226280.0,2013-06-05
CAT,Catcoin,2013-12-27,2013-11-23,Lebrick,https://bitcointalk.org/index.php?topic=344012.0,2013-11-23
OS76,OsmiumCoin,2015-10-19,2015-10-06,OSMIUMCOIN,https://bitcointalk.org/index.php?topic=1201395.0,2015-10-06
ERC,EuropeCoin,2015-06-18,2014-05-03,EuropeCoin,https://bitcointalk.org/index.php?topic=594797.0,2014-05-03
FRAC,Fractalcoin,2014-06-15,2014-06-12,Fractalcoin,https://bitcointalk.org/index.php?topic=650173.0,2014-06-12
HUGE,BigCoin,2015-04-24,2012-04-04,Vladimir,https://bitcointalk.org/index.php?topic=75298.0,2012-04-04
XCP,Counterparty,2014-02-15,2014-01-02,PhantomPhreak,https://bitcointalk.org/index.php?topic=395761.0,2014-01-02
CELL,SolarFarm,2015-01-25,2015-01-08,koko2530,https://bitcointalk.org/index.php?topic=917737.0,2015-01-08
VPN,VPNCoin,2014-11-23,2014-05-10,SuperTramp,https://bitcointalk.org/index.php?topic=602599.0,2014-05-10
ABC,Asset Backed Coin,2015-05-24,2013-05-17,jnada,https://bitcointalk.org/index.php?topic=207969.0,2013-05-17
DCYP,DarkCypher,2015-10-24,2015-10-06,Atomictie,https://bitcointalk.org/index.php?topic=1202219.0,2015-10-06
BANX,BanxShares,2014-09-30,2014-10-06,MarkLyford,https://bitcointalk.org/index.php?topic=813191.0,2014-10-06
NEOS,NeosCoin,2014-08-25,2014-08-26,twoturtles,https://bitcointalk.org/index.php?topic=757984.0,2014-08-26
STV,Sativacoin,2014-10-20,2014-09-21,sativacoin,https://bitcointalk.org/index.php?topic=791266.0,2014-09-21
ZRC,ZiftrCOIN,2015-03-03,2015-03-18,gnargnar,https://bitcointalk.org/index.php?topic=995250.0,2015-03-18
RZR,Razor,2014-06-21,2014-06-08,RazorTech,https://bitcointalk.org/index.php?topic=644498.0,2014-06-08
STR,StarCoin,2014-02-02,2013-07-20,sheinsha,https://bitcointalk.org/index.php?topic=259364.0,2013-07-20
CZC,CzechCrownCoin,2014-10-20,2014-05-04,czechcoin,https://bitcointalk.org/index.php?topic=595659.0,2014-05-04
XPD,PetroDollar,2014-04-15,2014-02-18,coinweaver,https://bitcointalk.org/index.php?topic=472238.0,2014-02-18
