coin_name,coin_symbol,first_date_price
Macro,MACRO,2015-09-01
SatoshiMadness,MAD,2015-09-01
MaidSafeCoin,MAID,2014-04-28
MapCoin,MAPC,2015-09-08
MaryJane,MARYJ,2014-10-04
MaxCoin,MAX,2014-02-12
MonetaVerde,MCN,2014-08-25
MangoCoinz,MCZ,2015-03-22
Megacoin,MEC,2013-07-07
MediterraneanCoin,MED,2014-10-22
Memecoin,MEM,2013-06-09
Kittehcoin,MEOW,2014-01-24
MetalCoin,METAL,2015-01-28
MGW,MGW,2014-08-22
Xiaomicoin,MI,2015-09-04
Mineralscoin,MIN,2014-06-21
InstaMineNuggets,$MINE,2015-03-08
InstaMineNuggets A,$MINEW,2015-03-08
InstaMineNuggets B,$MINEZ,2015-03-08
Mintcoin,MINT,2014-02-19
MMBTCD,MMBTCD,2015-07-07
Memorycoin,MMC,2013-12-24
MMNXT,MMNXT,2014-10-22
Mincoin,MNC,2013-05-03
Munne,MNE,2014-10-25
Moneta,MNTA,2014-08-30
MonaCoin,MONA,2014-03-20
Mooncoin,MOON,2014-01-06
Motocoin,MOTO,2014-06-03
microCoin,MRC,2014-03-03
FreeMarket,MRKT,2014-09-23
Marscoin,MRS,2014-02-24
Murraycoin,MRY,2014-03-03
Mastercoin,MSC,2013-12-24
Metal Music Coin,MTLMC3,2015-07-02
MasterTraderCoin,MTR,2015-03-02
MonetaryUnit,MUE,2014-11-01
MultiWalletCoin,MWC,2014-08-09
Myriadcoin,MYR,2014-03-08
MysteryCoin,MYST,2015-02-06
Mysticoin,MYSTIC,2015-09-14
MazaCoin,MZC,2014-02-27
NanoToken,NAN,2013-07-17
Nas,NAS,2014-04-15
NautilusCoin,NAUT,2014-05-15
Navajo,NAV,2014-06-12
Nibble,NBL,2013-06-14
NuBits,NBT,2014-09-23
Neocoin,NEC,2014-03-26
NeosCoin,NEOS,2014-08-25
NetCoin,NET,2013-12-17
NeuCoin,NEU,2015-09-25
Nexus,NIRO,2015-01-25
IncaKoin,NKA,2015-01-28
Nakas,NKT,2014-12-29
Gulden,NLG,2014-04-08
Nimbus,NMB,2014-09-05
Namecoin,NMC,2013-04-28
NobleCoin,NOBL,2014-02-08
Nocturna,NOC,2015-07-27
Node,NODE,2014-09-13
NOTE,NOTE,2015-05-07
NobleNXT,NOXT,2014-12-06
Noirbits,NRB,2013-07-04
NoirShares,NRS,2014-04-20
NuShares,NSR,2014-10-25
Neutrino,NTR,2014-06-12
Neutron,NTRN,2015-04-21
Novacoin,NVC,2013-04-28
NXE,NXE,2015-03-22
Nxt,NXT,2013-12-04
Tradebots,NXTcoinsco,2014-10-04
NXTInspect,NXTI,2014-10-09
NXTprivacy,NXTprivacy,2014-10-04
Nxttycoin,NXTTY,2014-08-12
NXTventure,NXTV,2014-09-23
Nyancoin,NYAN,2014-02-09
NewYorkCoin,NYC,2014-05-06
OrangeCoin,OC,2014-05-13
Octo,OCTO,2015-03-22
Cthulhu Offerings,OFF,2015-07-25
OKCash,OK,2014-12-14
Omnicoin,OMC,2014-05-11
Opal,OPAL,2014-09-13
Orbitcoin,ORB,2013-12-21
ORObit,ORO,2014-02-27
OpenSourcecoin,OSC,2014-03-15
Ozziecoin,OZC,2015-07-23
P7Coin,P7C,2015-04-17
Pakcoin,PAK,2015-09-15
Pangea Poker,PANGEA,2014-12-13
ParanoiaCoin,PARA,2015-09-25
Photon,PHO,2014-05-23
Phreak,PHR,2015-09-17
Philosopher Stones,PHS,2013-12-17
Piggycoin,PIGGY,2014-06-15
