symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
DIME,Dimecoin,2014-01-06,2013-12-23,2014-01-06,dimecoin,1,155,20,14
XMG,Magi,2014-09-23,2014-08-12,2014-09-23,joelao95,1,245,3,260
HEX,Heisenberg,2014-03-15,2014-02-22,2014-03-15,Heisenbergprime,1,8,1,21
COMM,CommunityCoin,2014-04-15,2014-03-25,2014-04-15,communitycoin,1,128,3,21
CS,CryptoSpots,2015-08-04,2015-02-28,2015-08-04,xPooky,1,797,2,325
XMR,Monero,2014-05-20,2014-05-17,2014-05-20,superresistant,1,803,6,369
DRS,Denarius,2014-06-15,2014-05-01,2014-06-15,Nthused,1,973,16,166
NMC,Namecoin,2013-04-28,2012-11-08,2013-04-28,phelix,1,656,29,738
LOG,Woodcoin,2015-03-22,2014-10-22,2015-03-22,funkenstein,1,176,6,151
LOT,LottoCoin,2013-12-27,2013-12-26,2013-12-27,cozie,1,49,3,305
ARCH,ARCHcoin,2014-10-06,2014-10-08,2014-10-06,cryptobooster,1,2,1,1
AXIOM,Axiom,2015-07-29,2015-09-20,2015-07-29,bitcoinrpc.cpp,1,0,0,-53
AIB,AIB,2015-04-30,2015-04-11,2015-04-30,aib,1,6,1,19
QRK,Quark,2013-08-25,2013-07-21,2013-08-25,quarkcoin,1,27,2,37
SOL,Solcoin,2014-09-07,2014-01-07,2014-09-07,Solcoin Project,1,95,2,243
QCN,QuazarCoin,2014-05-26,2014-05-08,2014-05-26,OracionSeis,1,232,10,365
DIBS,Dibbits,2015-06-24,2015-06-16,2015-06-24,DIBBITSdev,1,1,1,8
NSR,NuShares,2014-10-25,2015-02-14,2014-10-25,drakoin,1,486,12,319
UTC,UltraCoin,2014-02-09,2014-01-13,2014-02-09,bumface,1,110,1,36
XVI,Vibranium,2015-07-02,2015-06-08,2015-07-02,Viecoin,1,274,3,476
XCASH,XCash,2014-09-11,2014-09-01,2014-09-11,johnnyxcash,1,28,1,10
HTML5,HTMLCOIN,2014-09-19,2014-12-12,2014-09-19,KCoinH,1,0,0,-50
PINK,PinkCoin,2014-05-11,2014-10-27,2014-05-11,sonysasankan,1,437,1,78
SDP,SydPak,2015-08-23,2015-08-09,2015-08-23,SydPakCoin Dev,1,5,1,14
PURE,PurePOS,2015-08-23,2015-08-22,2015-08-23,PurePOS,1,1,1,1
ARG,Argentum,2013-07-04,2013-06-10,2013-07-04,eddyfitz,1,201,2,58
