coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
NIRO,2015-01-25,2014-10-23,Trujillo,https://bitcointalk.org/index.php?topic=832714.0,2014-10-23
PYC,2014-12-06,2013-08-06,deppJ,https://bitcointalk.org/index.php?topic=268941.0,2013-08-06
GREXIT,2015-07-23,2015-07-17,grexitcoin,https://bitcointalk.org/index.php?topic=1126239.0,2015-07-17
XLM,2014-08-05,2014-08-01,lordoliver,https://bitcointalk.org/index.php?topic=720096.0,2014-08-01
KORE,2014-06-21,2014-06-15,KoreCoin,https://bitcointalk.org/index.php?topic=652700.0,2014-06-15
FRDC,2015-09-21,2014-01-02,datguys,https://bitcointalk.org/index.php?topic=395971.0,2014-01-02
XLB,2014-05-12,2014-01-03,wEEcoIn,https://bitcointalk.org/index.php?topic=397483.0,2014-01-03
COINO,2014-12-24,2014-01-17,coino.org,https://bitcointalk.org/index.php?topic=419873.0,2014-01-17
SILK,2014-05-11,2014-02-12,silkcoinproject,https://bitcointalk.org/index.php?topic=462517.0,2014-02-12
SLING,2015-04-21,2015-04-20,DG.Slayer,https://bitcointalk.org/index.php?topic=1032166.0,2015-04-20
PLNC,2014-04-15,2014-03-10,WalutowyKrol,https://bitcointalk.org/index.php?topic=509433.0,2014-03-10
PKB,2015-05-18,2015-04-29,ParkByte,https://bitcointalk.org/index.php?topic=1042054.0,2015-04-29
CAID,2015-09-15,2015-09-05,crunck,https://bitcointalk.org/index.php?topic=1171544.0,2015-09-05
NLG,2014-04-08,2014-03-13,edu91,https://bitcointalk.org/index.php?topic=514665.0,2014-03-13
TENNET,2015-08-10,2015-06-19,TenneT,https://bitcointalk.org/index.php?topic=1094342.0,2015-06-19
GCC,2015-08-20,2015-06-25,GCCTeam1,https://bitcointalk.org/index.php?topic=1099201.0,2015-06-25
DOGED,2014-10-25,2014-09-05,DogecoinDark,https://bitcointalk.org/index.php?topic=770742.0,2014-09-05
CSC,2013-07-24,2013-05-27,CartmanSPC,https://bitcointalk.org/index.php?topic=217139.0,2013-05-27
GCN,2014-11-16,2013-05-03,farlack,https://bitcointalk.org/index.php?topic=194405.0,2013-05-03
SHA,2014-06-25,2013-08-30,Patches OHulahan,https://bitcointalk.org/index.php?topic=284782.0,2013-08-30
GCR,2015-08-26,2015-08-19,gcrgcr,https://bitcointalk.org/index.php?topic=1157341.0,2015-08-19
MOTO,2014-06-03,2014-05-01,WilliamLie2,https://bitcointalk.org/index.php?topic=591724.0,2014-05-01
SHF,2015-09-05,2014-03-02,Coinshift,https://bitcointalk.org/index.php?topic=497366.0,2014-03-02
RT2,2014-03-29,2014-03-15,Rotocoin,https://bitcointalk.org/index.php?topic=516138.0,2014-03-15
MONETA,2015-10-24,2014-06-15,cryptomidnight,https://bitcointalk.org/index.php?topic=653141.0,2014-06-15
VTR,2014-12-24,2014-12-11,vtorrent,https://bitcointalk.org/index.php?topic=889481.0,2014-12-11
CAGE,2014-04-15,2014-01-01,Nicolas_Cage,https://bitcointalk.org/index.php?topic=394958.0,2014-01-01
BTX,2015-04-26,2015-04-27,placebo,https://bitcointalk.org/index.php?topic=1039964.0,2015-04-27
LEAF,2014-02-02,2014-01-24,mcg,https://bitcointalk.org/index.php?topic=430091.0,2014-01-24
BTS,2014-07-20,2014-02-24,CLains,https://bitcointalk.org/index.php?topic=485166.0,2014-02-24
XCE,2015-06-10,2015-06-06,Cerium,https://bitcointalk.org/index.php?topic=1082918.0,2015-06-06
XCH,2014-10-04,2014-08-11,btcdrak,https://bitcointalk.org/index.php?topic=734674.0,2014-08-11
DOGE,2013-12-15,2013-12-08,Dogecoin,https://bitcointalk.org/index.php?topic=361813.0,2013-12-08
XCN,2014-08-02,2013-12-30,x_Coin,https://bitcointalk.org/index.php?topic=391457.0,2013-12-30
XCO,2015-03-05,2014-01-26,eduffield,https://bitcointalk.org/index.php?topic=433518.0,2014-01-26
MOON,2014-01-06,2013-05-27,muddafudda,https://bitcointalk.org/index.php?topic=217526.0,2013-05-27
BTE,2013-05-10,2013-04-02,Gerco,https://bitcointalk.org/index.php?topic=165216.0,2013-04-02
BTG,2013-07-04,2013-05-16,mineral,https://bitcointalk.org/index.php?topic=207008.0,2013-05-16
BTA,2015-05-29,2015-04-28,pc888,https://bitcointalk.org/index.php?topic=1040956.0,2015-04-28
BTC,2013-04-28,2011-06-10,Alex Zee,https://bitcointalk.org/index.php?topic=14760.0,2011-06-10
BTB,2013-05-09,2013-05-02,xorxor,https://bitcointalk.org/index.php?topic=193519.0,2013-05-02
SSD,2014-08-12,2013-12-26,speedminer,https://bitcointalk.org/index.php?topic=385981.0,2013-12-26
LTD,2015-09-15,2015-09-11,LimitedDev,https://bitcointalk.org/index.php?topic=1177493.0,2015-09-11
JBS,2014-09-07,2014-09-01,jyap,https://bitcointalk.org/index.php?topic=765082.0,2014-09-01
INDEX,2015-06-18,2014-01-06,efanucar,https://bitcointalk.org/index.php?topic=401271.0,2014-01-06
ISR,2014-04-08,2014-03-24,IsraelCoin,https://bitcointalk.org/index.php?topic=529409.0,2014-03-24
JAY,2015-04-17,2015-04-02,jones_,https://bitcointalk.org/index.php?topic=1010702.0,2015-04-02
XCASH,2014-09-11,2014-09-01,johnnyxcash,https://bitcointalk.org/index.php?topic=765360.0,2014-09-01
SPHR,2015-05-02,2015-04-30,ChronoSphereDev,https://bitcointalk.org/index.php?topic=1042958.0,2015-04-30
MUE,2014-11-01,2014-09-11,Mue,https://bitcointalk.org/index.php?topic=778322.0,2014-09-11
OCTO,2015-03-22,2015-02-19,OCTOPARTY,https://bitcointalk.org/index.php?topic=960933.0,2015-02-19
CURE,2014-05-26,2013-05-07,cygnusxi,https://bitcointalk.org/index.php?topic=197773.0,2013-05-07
ISL,2015-09-28,2015-05-05,isladev,https://bitcointalk.org/index.php?topic=1051125.0,2015-05-05
DGB,2014-02-06,2014-02-03,sa_ddam213,https://bitcointalk.org/index.php?topic=446313.0,2014-02-03
DGC,2013-06-09,2013-05-20,fenican,https://bitcointalk.org/index.php?topic=210954.0,2013-05-20
ECC,2014-03-20,2014-03-06,hostmaster,https://bitcointalk.org/index.php?topic=503236.0,2014-03-06
EBS,2015-07-21,2014-11-09,EbolaDev,https://bitcointalk.org/index.php?topic=853242.0,2014-11-09
BITB,2015-02-18,2015-01-06,nokat,https://bitcointalk.org/index.php?topic=915650.0,2015-01-06
ASC,2013-12-31,2013-09-11,asicuser,https://bitcointalk.org/index.php?topic=292501.0,2013-09-11
BITZ,2015-03-08,2015-11-01,EBK1000,https://bitcointalk.org/index.php?topic=1234560.0,2015-11-01
KUMA,2014-08-02,2014-04-26,kumacoinproject,https://bitcointalk.org/index.php?topic=585772.0,2014-04-26
QTL,2014-07-12,2014-03-21,ThePeePs,https://bitcointalk.org/index.php?topic=524483.0,2014-03-21
BITS,2014-04-23,2013-06-02,jubalix,https://bitcointalk.org/index.php?topic=223104.0,2013-06-02
JKC,2013-06-14,2013-05-07,Narken,https://bitcointalk.org/index.php?topic=198175.0,2013-05-07
FRC,2013-05-02,2012-06-25,maaku,https://bitcointalk.org/index.php?topic=89843.0,2012-06-25
VTC,2014-01-20,2014-01-18,naplam,https://bitcointalk.org/index.php?topic=421790.0,2014-01-18
DUO,2015-10-24,2014-08-02,Parallaxis,https://bitcointalk.org/index.php?topic=721170.0,2014-08-02
FRK,2013-06-09,2013-05-07,Narken,https://bitcointalk.org/index.php?topic=198175.0,2013-05-07
XC,2014-05-23,2014-05-08,atcsecure,https://bitcointalk.org/index.php?topic=600706.0,2014-05-08
DUB,2015-06-30,2014-02-02,baritus,https://bitcointalk.org/index.php?topic=445324.0,2014-02-02
EUC,2015-08-23,2014-03-04,deeppurple72,https://bitcointalk.org/index.php?topic=499294.0,2014-03-04
